trial_id,union_ratio,true_ratio,predicted_ratio,track_purity,target_effectiveness,division_recovery,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing_max_distance,config.gap_closing,search_name
04ddb51e,0.9002083815698079,0.9552825552825552,0.939811457577955,-1.0,-1.0,-1.0,19.334882736206055,True,,,1,057b6c1866c340d6a16ac02f1b84a720,2022-08-27_00-30-54,1661527854,19.334882736206055,35406,blacky,172.19.156.210,19.334882736206055,0,1,0.008789539337158203,"84_gap_closing=1,gap_closing_max_distance=33.16,max_distance=8.0454,splitting_max_distance=24.589",8.045417472135428,24.58905992129767,33.16027065278584,1,OptunaSearch
91466c86,0.8999535747446611,0.9525798525798526,0.9421628189550425,-1.0,-1.0,-1.0,14.15733003616333,True,,,1,608ee3577ff940a4ad4c455bb5cbd8ff,2022-08-27_00-27-35,1661527655,14.15733003616333,20017,blacky,172.19.156.210,14.15733003616333,0,1,0.00626063346862793,"100_gap_closing=0,gap_closing_max_distance=21.794,max_distance=17.046,splitting_max_distance=20.591",17.045872638254693,20.591295331059364,21.7939448275432,0,OptunaSearch
7380d_00026,0.8998843930635838,0.9562653562653562,0.938509766095973,-1.0,-1.0,-1.0,19.777408361434937,True,,,1,fec898af8c9649348f6243d03e08d889,2022-08-27_00-20-27,1661527227,19.777408361434937,44838,blacky,172.19.156.210,19.777408361434937,0,1,0.008246660232543945,"26_gap_closing_max_distance=38.18,max_distance=9.8705,splitting_max_distance=37.806",9.870497040036863,37.805994910068364,38.18012710970035,1,RandomSearch
cb6c71a8,0.8993445692883895,0.943980343980344,0.9500494559841741,-1.0,-1.0,-1.0,16.3892822265625,True,,,1,2bbd4c732ff14511a759abcebcc2fc3c,2022-08-27_00-29-15,1661527755,16.3892822265625,27588,blacky,172.19.156.210,16.3892822265625,0,1,0.003838777542114258,"41_gap_closing=1,gap_closing_max_distance=31.642,max_distance=10.867,splitting_max_distance=13.994",10.866626546433691,13.993748543189259,31.641628584424147,1,OptunaSearch
b6dbe4ee,0.8992122335495829,0.9535626535626536,0.9403925369517809,-1.0,-1.0,-1.0,18.66960072517395,True,,,1,7a2ad7d8995d486fbbd2348111d3c52a,2022-08-27_00-28-42,1661527722,18.66960072517395,24815,blacky,172.19.156.210,18.66960072517395,0,1,0.003602266311645508,"24_gap_closing=1,gap_closing_max_distance=39.224,max_distance=7.6999,splitting_max_distance=18.026",7.699902986716065,18.025936018970235,39.22411168350728,1,OptunaSearch
dd859f5e,0.8991907514450868,0.9555282555282555,0.938465250965251,-1.0,-1.0,-1.0,22.36379337310791,True,,,1,09d2616579504c0e9af3f22a3e6a6e68,2022-08-27_00-29-51,1661527791,22.36379337310791,29969,blacky,172.19.156.210,22.36379337310791,0,1,0.0038139820098876953,"57_gap_closing=1,gap_closing_max_distance=29.208,max_distance=6.4089,splitting_max_distance=29.772",6.4089087211497775,29.77150716883411,29.20775257188213,1,OptunaSearch
ee503c90,0.8991655076495132,0.9530712530712531,0.940819791414019,-1.0,-1.0,-1.0,15.356059074401855,True,,,1,d25a85a1c27e4fdeb820738ccfd9f8e2,2022-08-27_00-30-12,1661527812,15.356059074401855,32337,blacky,172.19.156.210,15.356059074401855,0,1,0.007099628448486328,"70_gap_closing=1,gap_closing_max_distance=25.815,max_distance=16.986,splitting_max_distance=21.347",16.985920663089743,21.347265590332086,25.814597985332682,1,OptunaSearch
8d01459c,0.8991655076495132,0.9530712530712531,0.940819791414019,-1.0,-1.0,-1.0,16.33189630508423,True,,,1,116d2fa617d9426ebef5f4d1d2403cb1,2022-08-27_00-27-31,1661527651,16.33189630508423,19622,blacky,172.19.156.210,16.33189630508423,0,1,0.020636796951293945,"96_gap_closing=0,gap_closing_max_distance=11.809,max_distance=17.134,splitting_max_distance=21.926",17.133708808188594,21.925860769720984,11.80909574773815,0,OptunaSearch
ecfd8_00064,0.8991207774178621,0.9547911547911548,0.9391010149830836,-1.0,-1.0,-1.0,15.747245073318481,True,,,1,09b4d5f225d0488599ccceabfd300586,2022-08-27_00-18-01,1661527081,15.747245073318481,30748,blacky,172.19.156.210,15.747245073318481,0,1,0.0036742687225341797,"64_gap_closing_max_distance=22.82,max_distance=12.958,splitting_max_distance=26.622",12.957738581231379,26.621998729993383,22.819679924533215,0,RandomSearch
ecfd8_00056,0.8990062398890687,0.9557739557739557,0.9380274897516276,-1.0,-1.0,-1.0,15.232842922210693,True,,,1,9c75c4439a334210917c6365956a73e9,2022-08-27_00-17-46,1661527066,15.232842922210693,29361,blacky,172.19.156.210,15.232842922210693,0,1,0.003461599349975586,"56_gap_closing_max_distance=27.438,max_distance=13.625,splitting_max_distance=39.231",13.624627880995144,39.23103101167091,27.438250802234442,0,RandomSearch
