trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.nll_offset,config.drift_x,config.drift_y,config.max_distance,config.gap_closing_max_distance,config.splitting_max_distance,config.gap_closing,search_name
6db5f740,0.8097256301583761,0.9014154457412465,0.8883994126284875,-1.0,-1.0,-1.0,448.93216919898987,True,,,1,253a0fd8d0ae4b898ef79314c926f6b9,2022-08-28_05-19-00,1661631540,448.93216919898987,165641,thunders,172.21.5.15,448.93216919898987,0,1,0.004400491714477539,"10_drift_x=0,drift_y=0,gap_closing=0,gap_closing_max_distance=32.6,max_distance=32.149,nll_offset=0.29991,splitting_max_distance=23.601",0.2999140630260464,0,0,32.14859868748418,32.60011871113459,23.601315033196133,0,OptunaSearch
db525_00041,0.8094701240135288,0.8914824931710951,0.8979489744872436,-1.0,-1.0,-1.0,319.8944671154022,True,,,1,bbdaf2a590b34c69b34a8ce13a0df65c,2022-08-28_03-40-55,1661625655,319.8944671154022,112138,thunders,172.21.5.15,319.8944671154022,0,1,0.0049533843994140625,"41_gap_closing_max_distance=36.452,max_distance=27.466,nll_offset=0.3374,splitting_max_distance=13.726",0.3373982513638603,0,0,27.465792999338817,36.45153765345897,13.726278477955585,0,RandomSearch
db525_00025,0.8093861209964412,0.9036503600695307,0.8858325219084713,-1.0,-1.0,-1.0,345.16710472106934,True,,,1,ade853244c4c45d7a41436e13fe1592c,2022-08-28_03-33-34,1661625214,345.16710472106934,108001,thunders,172.21.5.15,345.16710472106934,0,1,0.005371570587158203,"25_gap_closing_max_distance=35.517,max_distance=28.59,nll_offset=0.23091,splitting_max_distance=37.696",0.23091183907347376,0,0,28.590221570889963,35.51749736946885,37.69644527869655,0,RandomSearch
3be470b4,0.8093428699150648,0.8991805314129625,0.890117994100295,-1.0,-1.0,-1.0,299.4289424419403,True,,,1,c305ccc072eb4850b765cbfdfe6d1db6,2022-08-28_05-29-26,1661632166,299.4289424419403,173351,thunders,172.21.5.15,299.4289424419403,0,1,0.004426002502441406,"36_drift_x=0,drift_y=0,gap_closing=0,gap_closing_max_distance=40.731,max_distance=4.7144,nll_offset=0.4421,splitting_max_distance=36.963",0.4421046665501951,0,0,4.714363344669602,40.73144875986789,36.96328222958154,0,OptunaSearch
ac914726,0.8089837669557483,0.9034020362552769,0.8855890944498539,-1.0,-1.0,-1.0,572.668251991272,True,,,1,9150e8cc2e064fe6915d3c67fb01f28e,2022-08-28_05-58-37,1661633917,572.668251991272,189837,thunders,172.21.5.15,572.668251991272,0,1,0.004399538040161133,"22_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=33.272,max_distance=37.191,nll_offset=0.18695,splitting_max_distance=30.1",0.18694692767242083,0,0,37.19147919143508,33.27167982987855,30.100304587937014,1,OptunaSearch
73b0f_00003,0.8089837669557483,0.9034020362552769,0.8855890944498539,-1.0,-1.0,-1.0,339.9081950187683,True,,,1,63772cbed54b454499bacb747abe17fa,2022-08-28_04-20-26,1661628026,339.9081950187683,134260,thunders,172.21.5.15,339.9081950187683,0,1,0.0038836002349853516,"3_gap_closing_max_distance=15.109,max_distance=29.568,nll_offset=0.4518,splitting_max_distance=40.891",0.4517970584179057,0,0,29.567731800905307,15.109065865191805,40.891395226656925,1,RandomSearch
db525_00098,0.8089128966914247,0.8924757884281103,0.8962593516209476,-1.0,-1.0,-1.0,302.1712975502014,True,,,1,918d3e2dfae34bad8f393b20a3375c9f,2022-08-28_04-13-21,1661627601,302.1712975502014,130887,thunders,172.21.5.15,302.1712975502014,0,1,0.004670381546020508,"98_gap_closing_max_distance=39.667,max_distance=29.856,nll_offset=0.24805,splitting_max_distance=14.241",0.24805019485967322,0,0,29.85594095725678,39.666867186819125,14.241189764501648,0,RandomSearch
db525_00088,0.8087613964865465,0.903153712441023,0.8855612369125883,-1.0,-1.0,-1.0,474.73519802093506,True,,,1,c8425340e462452d81df815fc643af40,2022-08-28_04-08-13,1661627293,474.73519802093506,126453,thunders,172.21.5.15,474.73519802093506,0,1,0.004855632781982422,"88_gap_closing_max_distance=29.859,max_distance=32.781,nll_offset=0.48264,splitting_max_distance=30.378",0.4826415754159347,0,0,32.78126086196421,29.859057763046003,30.377601246954022,0,RandomSearch
35cfb5ee,0.8087150837988827,0.898683883784455,0.8898450946643718,-1.0,-1.0,-1.0,293.1389756202698,True,,,1,44330c9b6b344cdb85fe74810690575c,2022-08-28_05-29-10,1661632150,293.1389756202698,173184,thunders,172.21.5.15,293.1389756202698,0,1,0.004921674728393555,"35_drift_x=0,drift_y=0,gap_closing=0,gap_closing_max_distance=40.818,max_distance=4.9564,nll_offset=0.44181,splitting_max_distance=36.282",0.44180970840795164,0,0,4.956449682297066,40.81780890765349,36.282482626624784,0,OptunaSearch
73b0f_00081,0.8083259127337489,0.9016637695555004,0.886474609375,-1.0,-1.0,-1.0,381.08393239974976,True,,,1,f06bda5df8464c6fa0e3f425c8a5c282,2022-08-28_05-03-25,1661630605,381.08393239974976,157777,thunders,172.21.5.15,381.08393239974976,0,1,0.004662036895751953,"81_gap_closing_max_distance=39.178,max_distance=32.143,nll_offset=0.30247,splitting_max_distance=25.36",0.30246616127634446,0,0,32.1432038959037,39.178152809521634,25.359778054776534,1,RandomSearch
73b0f_00049,0.8083166555481432,0.9026570648125155,0.8855054811205847,-1.0,-1.0,-1.0,393.33046793937683,True,,,1,6c7e2d76d26a4024b4dc57ad82f83a87,2022-08-28_04-44-36,1661629476,393.33046793937683,147011,thunders,172.21.5.15,393.33046793937683,0,1,0.00487065315246582,"49_gap_closing_max_distance=36.962,max_distance=29.205,nll_offset=0.212,splitting_max_distance=28.375",0.21200038527484996,0,0,29.204588947901335,36.96181246040564,28.37526627039409,1,RandomSearch
73b0f_00097,0.8082808280828083,0.8919791407996027,0.8959840359191819,-1.0,-1.0,-1.0,245.20612597465515,True,,,1,11bb9829e597456cbe6f61fd79a1f330,2022-08-28_05-07-26,1661630846,245.20612597465515,160947,thunders,172.21.5.15,245.20612597465515,0,1,0.00497889518737793,"97_gap_closing_max_distance=19.416,max_distance=28.618,nll_offset=0.39425,splitting_max_distance=14.403",0.39424576985559906,0,0,28.61792661902855,19.41589764554574,14.403102483206512,1,RandomSearch
73b0f_00073,0.808206958073149,0.8999255028557238,0.8880176427346239,-1.0,-1.0,-1.0,431.9623484611511,True,,,1,3fa76f45e3a1431e9e7b05bb9c3b898f,2022-08-28_04-58-50,1661630330,431.9623484611511,154718,thunders,172.21.5.15,431.9623484611511,0,1,0.005324840545654297,"73_gap_closing_max_distance=28.568,max_distance=31.607,nll_offset=0.15347,splitting_max_distance=22.927",0.15346805644976003,0,0,31.606520919157756,28.567691375572103,22.926943528989348,1,RandomSearch
db525_00051,0.808179595465659,0.9029053886267693,0.8851022395326192,-1.0,-1.0,-1.0,420.83290100097656,True,,,1,06d0dc6dcae5434d8ff75c52d127c717,2022-08-28_03-48-02,1661626082,420.83290100097656,115322,thunders,172.21.5.15,420.83290100097656,0,1,0.005019426345825195,"51_gap_closing_max_distance=27.265,max_distance=30.251,nll_offset=0.31877,splitting_max_distance=37.432",0.3187676547382765,0,0,30.25099038837768,27.264936028346337,37.43179555551081,0,RandomSearch
adc0a5b6,0.808179595465659,0.9029053886267693,0.8851022395326192,-1.0,-1.0,-1.0,468.88534712791443,True,,,1,778fa5b6bc974c179e6bfc9ab5e8247d,2022-08-28_05-49-46,1661633386,468.88534712791443,185928,thunders,172.21.5.15,468.88534712791443,0,1,0.004389286041259766,"6_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=25.607,max_distance=33.673,nll_offset=0.43993,splitting_max_distance=40.025",0.43992703398820837,0,0,33.67280292866049,25.60717875149091,40.02548892793603,1,OptunaSearch
db525_00053,0.8081369497554469,0.9026570648125155,0.8852898197759377,-1.0,-1.0,-1.0,626.2938349246979,True,,,1,65f1ef005ea743d4a638f9d6ced1d584,2022-08-28_03-52-22,1661626342,626.2938349246979,115856,thunders,172.21.5.15,626.2938349246979,0,1,0.005513191223144531,"53_gap_closing_max_distance=17.245,max_distance=39.064,nll_offset=0.17929,splitting_max_distance=28.083",0.17928912329048835,0,0,39.063539915262375,17.24527642581125,28.083059708478306,0,RandomSearch
