trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/nll_offset,config/drift_x,config/drift_y,config/max_distance,config/gap_closing_max_distance,config/splitting_max_distance,config/gap_closing,search_name
46f0befe,0.9258649093904449,0.9665847665847666,0.9564794553853635,-1.0,-1.0,-1.0,115.87844586372375,True,,,1,b84560b869384e469e76eb3bba5727e1,2022-09-09_12-07-33,1662692853,115.87844586372375,157130,bwmpc0512,10.3.5.12,115.87844586372375,0,1,0.003090381622314453,"88_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=19.1510,max_distance=6.6197,nll_offset=0.3420,splitting_max_distance=21.5177",0.3419537679217681,0,0,6.619712015564922,19.15096137706505,21.517689789923026,1,OptunaSearch
4db8ec8e,0.9258649093904449,0.9665847665847666,0.9564794553853635,-1.0,-1.0,-1.0,123.56191778182983,True,,,1,008f0879a368473d8eaf3f87ff337497,2022-09-09_12-08-01,1662692881,123.56191778182983,158420,bwmpc0512,10.3.5.12,123.56191778182983,0,1,0.003047943115234375,"91_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=20.4818,max_distance=6.4515,nll_offset=0.3490,splitting_max_distance=21.2736",0.34904630274764886,0,0,6.451466441360491,20.481781635778354,21.2735957144789,1,OptunaSearch
f03bfef2,0.9258474576271186,0.9663390663390663,0.9567015324738506,-1.0,-1.0,-1.0,110.9614417552948,True,,,1,4f27a7efe8b9404c9437f8a202eccfa0,2022-09-09_12-05-12,1662692712,110.9614417552948,157467,bwmpc0512,10.3.5.12,110.9614417552948,0,1,0.0032393932342529297,"76_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=22.6410,max_distance=6.7362,nll_offset=0.3936,splitting_max_distance=19.0566",0.3936450242967976,0,0,6.736151714348093,22.641019942956166,19.056585593311073,1,OptunaSearch
da322992,0.9258474576271186,0.9663390663390663,0.9567015324738506,-1.0,-1.0,-1.0,107.9508957862854,True,,,1,bf69457d4e634ada98beca20c519e4ec,2022-09-09_12-04-32,1662692672,107.9508957862854,157204,bwmpc0512,10.3.5.12,107.9508957862854,0,1,0.0033805370330810547,"72_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=22.8311,max_distance=6.6568,nll_offset=0.3982,splitting_max_distance=18.9744",0.3981722430014969,0,0,6.656778063285161,22.83114877832641,18.97443064307742,1,OptunaSearch
2f2221be,0.9258125294394725,0.9658476658476658,0.957146335524714,-1.0,-1.0,-1.0,112.12798070907593,True,,,1,77a097fb79bf45c7a2bad61e4d13480d,2022-09-09_12-07-00,1662692820,112.12798070907593,158063,bwmpc0512,10.3.5.12,112.12798070907593,0,1,0.002916574478149414,"86_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=20.9785,max_distance=6.5775,nll_offset=0.3319,splitting_max_distance=18.6720",0.33187955988059215,0,0,6.577542061204923,20.9785148250849,18.67202146515622,1,OptunaSearch
e0894334,0.9258125294394725,0.9658476658476658,0.957146335524714,-1.0,-1.0,-1.0,74.44147324562073,True,,,1,18d91015f2434776992506372a322cde,2022-09-09_12-04-10,1662692650,74.44147324562073,157275,bwmpc0512,10.3.5.12,74.44147324562073,0,1,0.0032460689544677734,"73_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=22.1796,max_distance=12.0188,nll_offset=0.3956,splitting_max_distance=19.4948",0.39556671877839,0,0,12.018808727628588,22.179555519924,19.494784552635863,1,OptunaSearch
789e4a5c,0.9257061476382625,0.9582309582309583,0.9646302250803859,-1.0,-1.0,-1.0,100.14870238304138,True,,,1,f6cac722bf18493cb460c751ed53d1d7,2022-09-09_12-08-50,1662692930,100.14870238304138,158770,bwmpc0512,10.3.5.12,100.14870238304138,0,1,0.0032274723052978516,"96_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=16.8144,max_distance=6.0281,nll_offset=0.2757,splitting_max_distance=15.5347",0.27567748626014804,0,0,6.028146365283598,16.8144085416562,15.534675416359368,1,OptunaSearch
06799d0a,0.9255945373204615,0.9658476658476658,0.9569133398247323,-1.0,-1.0,-1.0,107.17312431335449,True,,,1,b84560b869384e469e76eb3bba5727e1,2022-09-09_12-05-37,1662692737,107.17312431335449,157130,bwmpc0512,10.3.5.12,107.17312431335449,0,1,0.003090381622314453,"80_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=22.6087,max_distance=7.1499,nll_offset=0.3425,splitting_max_distance=18.7370",0.34254893352464566,0,0,7.149887815627287,22.608662706565593,18.737048636906778,1,OptunaSearch
217ba496,0.9255344139065069,0.9680589680589681,0.9546886358129392,-1.0,-1.0,-1.0,83.98020195960999,True,,,1,2faa359d042c45cb81a25850c26130da,2022-09-09_11-58-58,1662692338,83.98020195960999,155203,bwmpc0512,10.3.5.12,83.98020195960999,0,1,0.003651142120361328,"41_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=32.8807,max_distance=8.5860,nll_offset=0.4377,splitting_max_distance=19.9405",0.4376801877856047,0,0,8.585976400683908,32.880669797374814,19.94053538013607,1,OptunaSearch
85d69544,0.9254864736592311,0.9582309582309583,0.9643916913946587,-1.0,-1.0,-1.0,95.99039101600647,True,,,1,4de1b9aa9f754bcfa6797221403eee4b,2022-09-09_12-09-09,1662692949,95.99039101600647,158913,bwmpc0512,10.3.5.12,95.99039101600647,0,1,0.0032155513763427734,"98_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=16.7237,max_distance=5.8322,nll_offset=0.2678,splitting_max_distance=15.4684",0.2678177756939975,0,0,5.832160541184349,16.72370793449936,15.468373650259664,1,OptunaSearch
