trial_id,union_ratio,true_ratio,predicted_ratio,track_purity,target_effectiveness,division_recovery,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/nll_offset,config/drift_x,config/drift_y,config/max_distance,config/gap_closing_max_distance,config/splitting_max_distance,config/gap_closing,search_name
e92912be,0.9268063073664392,0.9675675675675676,0.9565217391304348,-1.0,-1.0,-1.0,76.22688269615173,True,,,1,7e4d79fd0cbd48cf822ed733b8e521d5,2022-09-01_15-20-02,1662013202,76.22688269615173,31907,bwmpc0729,10.3.7.29,76.22688269615173,0,1,0.0034029483795166016,"81_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=20.8992,max_distance=11.2843,nll_offset=0.2848,splitting_max_distance=22.5764",0.2848057915785899,0,0,11.284261677738426,20.899237895063706,22.576356791895343,1,OptunaSearch
09a28ff2,0.9258997882851094,0.9670761670761671,0.9560359485061938,-1.0,-1.0,-1.0,100.51686000823975,True,,,1,30ffb4f3e69440ee8f937ee5ec402663,2022-09-01_15-21-21,1662013281,100.51686000823975,32105,bwmpc0729,10.3.7.29,100.51686000823975,0,1,0.003570079803466797,"84_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=20.7555,max_distance=7.9292,nll_offset=0.2909,splitting_max_distance=22.8138",0.2909015754914577,0,0,7.929163197469098,20.7555325445973,22.813835684513204,1,OptunaSearch
a1329_00034,0.9254046446164673,0.9692874692874693,0.9533591106814886,-1.0,-1.0,-1.0,110.0719404220581,True,,,1,6acc2b255c634a41a5fb1ef9ae054cf7,2022-09-01_14-03-37,1662008617,110.0719404220581,15444,bwmpc0729,10.3.7.29,110.0719404220581,0,1,0.0035812854766845703,"34_gap_closing_max_distance=31.2198,max_distance=10.0621,nll_offset=0.1807,splitting_max_distance=24.5326",0.1807485522281576,0,0,10.062132877279584,31.219808258244363,24.53255329359645,1,RandomSearch
2c495c80,0.9253170502583372,0.9680589680589681,0.9544573643410853,-1.0,-1.0,-1.0,85.16453647613525,True,,,1,bc8e167d103c4a1ca4a3e8e2e4223d0f,2022-09-01_15-14-44,1662012884,85.16453647613525,29599,bwmpc0729,10.3.7.29,85.16453647613525,0,1,0.003618478775024414,"53_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=37.4347,max_distance=10.5336,nll_offset=0.4609,splitting_max_distance=20.9019",0.46085359616357485,0,0,10.533571054746698,37.434749228737815,20.901945559777456,1,OptunaSearch
4232664a,0.9253170502583372,0.9680589680589681,0.9544573643410853,-1.0,-1.0,-1.0,86.09103727340698,True,,,1,d538cba06b7d46d8af70cdf84acb6be1,2022-09-01_15-15-22,1662012922,86.09103727340698,29749,bwmpc0729,10.3.7.29,86.09103727340698,0,1,0.003473997116088867,"56_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=36.3944,max_distance=10.6145,nll_offset=0.3599,splitting_max_distance=20.8715",0.3599292882806296,0,0,10.61445433000359,36.39440690471571,20.87145768261646,1,OptunaSearch
be908b6e,0.9252887108178176,0.9646191646191646,0.957794584044889,-1.0,-1.0,-1.0,76.45718026161194,True,,,1,76a23f4d7bc44d90ad10c13a80039e00,2022-09-01_15-11-31,1662012691,76.45718026161194,28415,bwmpc0729,10.3.7.29,76.45718026161194,0,1,0.003321409225463867,"32_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=30.8053,max_distance=11.7470,nll_offset=0.4839,splitting_max_distance=17.5030",0.4839303954328653,0,0,11.74699863527067,30.80528810961437,17.503029994482123,1,OptunaSearch
023408c8,0.9248826291079812,0.9680589680589681,0.9539951573849879,-1.0,-1.0,-1.0,87.04947853088379,True,,,1,3402dfba61064a0290ed928a53c34576,2022-09-01_15-13-44,1662012824,87.04947853088379,29757,bwmpc0729,10.3.7.29,87.04947853088379,0,1,0.0036013126373291016,"47_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=36.9831,max_distance=9.5263,nll_offset=0.3998,splitting_max_distance=20.5190",0.3998279097273818,0,0,9.526294384560915,36.983078078707834,20.51895883986846,1,OptunaSearch
b7afc22e,0.9248704663212435,0.9648648648648649,0.9571045576407506,-1.0,-1.0,-1.0,73.03035569190979,True,,,1,3841fc2e5ab9423eb86fcff473d56198,2022-09-01_15-11-27,1662012687,73.03035569190979,28840,bwmpc0729,10.3.7.29,73.03035569190979,0,1,0.0035860538482666016,"31_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=30.1336,max_distance=11.6743,nll_offset=0.4963,splitting_max_distance=18.0198",0.4962680655935573,0,0,11.674263025720352,30.13361025196104,18.01981589944687,1,OptunaSearch
6c916616,0.924812030075188,0.9670761670761671,0.9548762736535662,-1.0,-1.0,-1.0,98.25023126602173,True,,,1,dbc47768dba746358087d8ba538d6e49,2022-09-01_15-16-55,1662013015,98.25023126602173,30722,bwmpc0729,10.3.7.29,98.25023126602173,0,1,0.003840923309326172,"62_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=22.7725,max_distance=10.6849,nll_offset=0.3619,splitting_max_distance=23.6000",0.36190798465570584,0,0,10.684885682007753,22.77245985367581,23.600018803828707,1,OptunaSearch
c74c7a6a,0.9245061147695203,0.9658476658476658,0.9557500607828835,-1.0,-1.0,-1.0,83.18401098251343,True,,,1,938d1759f123469bacdd6351a1c5b363,2022-09-01_15-11-53,1662012713,83.18401098251343,28750,bwmpc0729,10.3.7.29,83.18401098251343,0,1,0.0033702850341796875,"35_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=30.4024,max_distance=12.2271,nll_offset=0.4316,splitting_max_distance=20.0189",0.4315941803575786,0,0,12.227079270164749,30.402445933860996,20.018913530913565,1,OptunaSearch
