,index,label,centroid-0,centroid-1,area,intensity_mean,intensity_max,eccentricity,orientation,frame,track,predicted,valid
0,0,4,1009.79945799458,325.05149051490514,369,16408.48751257159,22293.931414679817,0.6340628923298952,-1.3772786440250222,0,155.0,4.0,True
1,1,5,920.2740384615385,3.826923076923077,208,8981.901664883637,11216.485248940571,0.9147700819626092,-0.1200347160680345,0,,,
2,2,11,935.1516393442624,774.0450819672132,488,30693.997511625657,42502.35557973912,0.5512318108414532,-0.6314518156178116,0,377.0,11.0,True
3,3,22,1015.2318271119844,581.6385068762279,509,18592.72229854163,23817.61277072344,0.8292839568426924,1.5216839006408869,0,314.0,22.0,True
4,4,23,896.5016949152542,871.4067796610169,295,27317.43671223384,38628.92406423716,0.60979135110393,-1.2552222462492455,0,390.0,23.0,True
5,5,29,847.4697674418604,150.47441860465116,430,18121.465353055504,23940.470859113386,0.3959657014325525,-0.4900581315223235,0,40.0,29.0,True
6,6,39,854.963687150838,992.745810055866,358,32029.680348873982,45083.009890619855,0.7308612672805486,1.2957171960088278,0,418.0,39.0,True
7,7,42,916.1325966850828,398.4843462246777,543,26718.61986955589,35082.50925263462,0.5120058361840999,0.1775864695522947,0,148.0,42.0,True
8,8,48,794.1768292682926,254.2276422764228,492,20651.976892100807,28172.516064289837,0.7560353553921361,-1.5563899399447536,0,54.0,48.0,True
9,9,51,885.0629251700681,506.7551020408163,588,38226.22813696665,49660.31940818605,0.4820579749185318,0.8120089289118751,0,260.0,51.0,True
10,10,53,916.4590163934428,42.80874316939891,366,9387.195776789971,11965.165483133518,0.7228665867172911,-1.4419144957804866,0,75.0,53.0,True
11,11,55,753.5601659751037,115.32780082987551,241,21422.878133572536,28498.715252880243,0.6478696292175053,-1.4716898599449135,0,4.0,55.0,True
12,12,61,950.625,941.7954545454544,352,23693.677612783973,30985.54891688571,0.322096412919718,-1.5413312160608423,0,417.0,61.0,True
13,13,64,762.0294117647059,299.8716577540107,374,30204.07617679697,43355.68403063808,0.6163203343803765,-0.1663015510691706,0,52.0,64.0,True
14,14,68,994.1272727272728,1013.5584415584416,385,21208.002879968044,27337.83167473496,0.4616715636852873,-0.2022058614350483,0,435.0,68.0,True
15,15,69,1009.4676258992806,834.568345323741,278,16891.111639008897,22554.879933022738,0.6185731233943849,0.5959910337746417,0,407.0,69.0,True
16,16,73,1012.1102362204724,216.1023622047244,127,27224.543546192028,40260.38901805811,0.8100484254958539,0.5929909101293509,0,143.0,73.0,True
17,17,91,940.381374722838,738.4656319290466,451,30766.93143150898,42295.71269232415,0.6733396230324041,-0.640019326396224,0,353.0,91.0,True
18,18,97,796.0806451612904,118.63133640552996,434,20467.732401648813,27425.87697052883,0.7520740850168204,-0.1741832559528505,0,23.0,97.0,True
19,19,100,764.4580152671756,185.3206106870229,131,22655.722191715584,28277.848220153475,0.5550412826937255,0.803000200275151,0,43.0,100.0,True
20,20,101,815.7472826086956,333.98369565217394,368,32473.54985921281,41451.37092617687,0.4937798783274496,1.1770963398678078,0,92.0,101.0,True
21,21,102,969.8634812286688,826.8976109215017,293,15917.605841958995,19871.452788861858,0.3052519329789434,1.1330808357275142,0,401.0,102.0,True
22,22,108,712.1603174603175,343.1,630,30409.499840306205,38304.20391382896,0.6814768862210001,1.4173420836972332,0,8.0,108.0,True
23,23,113,858.7775119617224,226.33253588516743,418,19416.55921664449,24425.676753751337,0.4772243924343368,0.6696891932000995,0,87.0,113.0,True
24,24,117,991.369318181818,674.7357954545455,352,22190.917438714547,27282.58857831402,0.6632626222299924,0.4820377201676848,0,333.0,117.0,True
25,25,119,1017.6516393442624,448.69262295081967,244,18669.320087931395,24036.278580714737,0.8080627059989466,-1.470021704982679,0,291.0,119.0,True
26,26,122,771.5112219451372,250.59600997506237,401,21974.358199893974,27926.00938015591,0.777181287622718,-1.0489605312619108,0,48.0,122.0,True
27,27,130,858.5892018779343,399.774647887324,426,29821.59967068704,40685.92773134746,0.4908816869913261,1.238511718416626,0,248.0,130.0,True
28,28,135,870.5128205128206,429.4551282051282,156,21954.16148571141,28287.15516669433,0.8352215841945038,-0.9899912211791412,0,250.0,135.0,True
29,29,136,867.7039106145252,536.2737430167598,358,31859.947845823863,46286.40333225204,0.3812412176038706,-0.4091126956261947,0,266.0,136.0,True
30,30,139,970.9010654490106,228.2054794520548,657,17625.377795301592,23612.822425011127,0.4726970859460571,-0.0323927787901983,0,118.0,139.0,True
31,31,140,987.2409638554216,746.6698795180723,415,26105.467210182596,33508.62517927127,0.5863781352964553,-0.0386951658102714,0,380.0,140.0,True
32,32,154,827.3387096774194,921.8129032258064,310,43564.50955491221,55923.99392651419,0.7034867367235325,-0.1992394546694784,0,371.0,154.0,True
33,33,160,910.8595988538682,934.0945558739256,349,29264.697949943493,40724.41639755703,0.6496359835900277,1.4537029415095533,0,404.0,160.0,True
34,34,161,771.9234042553192,279.8510638297872,235,33711.14435518248,48906.13619078798,0.7898474023615167,0.2561384004854907,0,51.0,161.0,True
35,35,164,966.2629213483146,472.8359550561798,445,21096.69148041676,28523.00202745063,0.7066016183090952,1.1607984634621695,0,279.0,164.0,True
36,36,168,1000.8382642998027,85.62524654832347,507,10485.791357634344,15351.321162797083,0.5840616526310412,-1.2639669745066089,0,141.0,168.0,True
37,37,169,849.9216101694915,268.396186440678,472,20891.39173940153,26559.276459346733,0.5671848168928253,1.3231389634405768,0,88.0,169.0,True
38,38,180,886.9504643962848,736.5696594427245,323,35888.363981652634,48124.024774222285,0.6565120331113143,-0.3934240459557488,0,350.0,180.0,True
39,39,188,792.6861313868613,218.4379562043796,137,19465.82138652701,26148.26405996622,0.8464910603720436,-0.0455934699725321,0,45.0,188.0,True
40,40,191,803.2053388090349,840.8480492813142,487,36584.217180267966,45745.02091121233,0.8363082389579188,1.1340523066583492,0,356.0,191.0,True
41,41,198,945.0725388601036,585.6390328151987,579,27399.027700570085,34344.12137876036,0.5650627689008638,-0.7657815826899631,0,306.0,198.0,True
42,42,201,840.4231625835189,297.6815144766147,449,22631.532313731583,29245.998499244277,0.4564282889761857,1.097401064499468,0,91.0,201.0,True
43,43,205,922.213296398892,646.6814404432133,361,31983.49110780163,42378.59013773354,0.7360157200809664,-0.9506172619746448,0,318.0,205.0,True
44,44,217,1005.9472573839662,408.5864978902953,474,26622.21238097671,34170.97599763225,0.5721195115553251,-0.1901482866935525,0,273.0,217.0,True
45,45,226,867.572706935123,455.79642058165547,447,27016.27636839901,35416.24520073661,0.4062503755830159,-0.3095955873723736,0,252.0,226.0,True
46,46,228,745.7741935483871,335.53548387096777,465,31057.77224194144,41031.4598025172,0.5564290868257739,1.5402333328355735,0,28.0,228.0,True
47,47,230,851.4530612244898,501.9469387755102,490,38366.04800978604,54217.42208585524,0.5321959859090232,0.7709636802288196,0,245.0,230.0,True
48,48,232,899.7404718693285,116.52268602540836,551,18052.294009990164,23582.69341338861,0.469994172426485,0.4832930331619419,0,77.0,232.0,True
49,49,247,870.9111747851003,59.89971346704871,349,14827.533644363626,19366.26683814409,0.4951949866712221,-0.1073784162718534,0,61.0,247.0,True
50,50,248,877.8053333333334,707.0453333333334,375,31252.885641356606,37755.46644543699,0.5876008154182106,1.4924767340496097,0,347.0,248.0,True
51,51,260,719.1283422459893,214.596256684492,374,26290.052044882144,35814.00466061645,0.6356680585993204,-1.241101446832371,0,,,
52,52,263,938.310975609756,48.03048780487805,328,8974.492263272292,11023.40056535459,0.7773669805290542,1.1435735739648103,0,107.0,263.0,True
53,53,264,793.0149572649573,479.86752136752136,468,33859.89097684879,46784.94534857354,0.5633118414743165,1.1171431816984927,0,31.0,264.0,True
54,54,265,750.0271186440677,275.4779661016949,295,26249.93076317669,35769.42805638495,0.535282861424608,-1.1688139953944552,0,47.0,265.0,True
55,55,270,877.0990712074304,989.4798761609908,323,30475.41792034652,40411.38594883784,0.7015646812399452,1.098902107456118,0,432.0,270.0,True
56,56,279,998.2729007633588,896.4713740458016,524,30503.855457549,43822.3776539812,0.63203053606958,-0.527525595413965,0,411.0,279.0,True
57,57,280,970.116991643454,789.7381615598886,359,24152.6271377016,32882.051658561795,0.700678884971159,-0.4570154057393523,0,382.0,280.0,True
58,58,281,955.6658878504672,967.0607476635514,428,27114.67795590145,38019.01301710402,0.438653011279191,0.5724289780538697,0,423.0,281.0,True
59,59,294,976.5341614906832,501.7391304347826,644,30960.904089176714,41151.84021352673,0.4697838864285993,-0.6968964426557023,0,282.0,294.0,True
60,60,298,990.155477031802,180.02473498233215,566,16337.265069411436,21712.974758550947,0.5861042133686618,0.6710808339004058,0,115.0,298.0,True
61,61,323,959.1105769230768,21.615384615384617,208,12492.184932779584,17783.729794354334,0.7545963292437253,0.4675075012621857,0,109.0,323.0,True
62,62,325,896.941787941788,779.3804573804574,481,34842.65927664157,44399.30716131476,0.452948852930696,0.0527144237183749,0,366.0,325.0,True
63,63,327,805.472553699284,298.8233890214797,419,26105.752576671424,31844.388799624503,0.7720785624022366,1.2433839670541194,0,63.0,327.0,True
64,64,376,980.417677642981,386.97746967071055,577,25730.3547417457,32416.017807008782,0.4805660565758834,-1.08670114003964,0,151.0,376.0,True
65,65,379,1016.5348837209302,476.7441860465116,215,15781.667499870638,18630.66281607505,0.6192994892268509,1.0384908082400832,0,392.0,379.0,True
66,66,380,815.4865525672371,502.0,409,35089.91055406204,47471.28659447335,0.3205488406639689,-1.3913897113494669,0,242.0,380.0,True
67,67,383,887.8303249097473,575.8483754512636,277,37262.27628987809,51393.408086577074,0.813612475167978,0.8686359242475791,0,301.0,383.0,True
68,68,385,949.5281306715063,540.5535390199638,551,28010.10426800673,36970.966991543486,0.4306640966972611,-1.0967522697637322,0,285.0,385.0,True
69,69,388,893.8551401869158,217.50467289719623,428,17792.342825163098,22090.327157038013,0.4826358759996152,0.6447114507838415,0,86.0,388.0,True
70,70,399,910.1626865671642,183.2223880597015,670,19359.64773798092,26164.9449609956,0.2592493059946736,-1.3638847217783732,0,83.0,399.0,True
71,71,422,955.9277978339352,307.06859205776175,554,18784.411470166862,24528.246423608576,0.4527016335558149,-0.5096971020809055,0,127.0,422.0,True
72,72,427,999.6134969325152,275.55214723926383,652,16625.164169906326,21374.855882425945,0.4167286216793408,1.0777175549116544,0,135.0,427.0,True
73,73,432,830.7260273972603,620.3405088062623,511,38651.71528044604,51482.25544251151,0.7228813408249051,-0.7349623821113437,0,34.0,432.0,True
74,74,437,870.9657947686117,815.5875251509054,497,32732.93747541316,45720.05614997658,0.4371349751990599,-1.4391909455328369,0,363.0,437.0,True
75,75,439,1017.7552742616034,236.2827004219409,237,13818.311616691168,16900.04943950917,0.8018126588543911,-1.350374996719163,0,193.0,439.0,True
76,76,446,849.0328947368421,339.2280701754386,456,25787.24362967805,36143.51817337915,0.7326630590073212,-1.522042745932117,0,131.0,446.0,True
77,77,449,930.8370786516854,931.0477528089888,356,24320.513108993924,31956.69798420882,0.8119092776807876,-1.37728888428875,0,408.0,449.0,True
78,78,451,941.9381443298968,445.680412371134,388,21299.68266585529,27716.45404127877,0.5664139619897008,-0.5926676711573338,0,259.0,451.0,True
79,79,462,928.4563758389262,502.2231543624161,596,32883.68969907121,43127.58709415847,0.6479152991267186,-0.8067650488701378,0,263.0,462.0,True
80,80,466,856.805785123967,752.5020661157025,484,28312.70034776541,34375.47946656066,0.6415079775701304,1.0519721549782384,0,346.0,466.0,True
81,81,480,787.2,317.976,250,48960.1452657321,63638.824105861415,0.4122833942160096,1.371932550212296,0,62.0,480.0,True
82,82,482,819.154954954955,399.4558558558559,555,26812.045613826816,35887.39760712172,0.4744145660648097,1.0241848522958448,0,232.0,482.0,True
83,83,485,842.2242990654206,903.0841121495328,107,33311.23683724038,41550.58084063531,0.7252968745773097,-0.496759722954319,0,376.0,485.0,True
84,84,495,906.282608695652,1010.0760869565216,368,21911.449152907444,28848.421996658733,0.7682210383230526,1.1168657182731023,0,434.0,495.0,True
85,85,507,844.8880208333334,843.1380208333334,384,36772.938935069,49969.12535975926,0.5253382543889882,-1.5406597770494506,0,369.0,507.0,True
86,86,514,912.0945454545456,701.7781818181818,275,25060.94475627016,29914.36003455457,0.7661043548469251,-1.1554804023040854,0,349.0,514.0,True
87,87,517,819.7614213197969,77.33756345177665,394,19317.93426714815,25526.401587792527,0.3046235816756694,0.2751019273581073,0,24.0,517.0,True
88,88,518,986.5110024449878,46.93887530562347,409,7997.297971030973,10547.688105925146,0.7459844730664542,-0.5449282111384546,0,110.0,518.0,True
89,89,536,735.0616246498599,245.1904761904762,357,26391.218712008707,36564.30092018945,0.6028845742587072,1.2840098144828718,0,27.0,536.0,True
90,90,545,886.6021505376344,384.4354838709677,372,25308.71142688212,35450.37655879084,0.6585550588871043,-1.3600391183155296,0,147.0,545.0,True
91,91,549,1006.3190476190476,58.11190476190476,420,8220.169665702619,10200.789445707578,0.6058449672110353,-0.332477714599207,0,156.0,549.0,True
92,92,552,976.866220735786,97.98327759197323,598,12604.688041756111,17170.892352347844,0.6858233648974421,1.320615190579984,0,111.0,552.0,True
93,93,565,1002.4377431906614,868.0136186770428,514,17323.432016642106,22272.844344553894,0.7297376000483764,-0.6124864660642335,0,406.0,565.0,True
94,94,574,907.15625,747.3723958333334,384,41883.38958746974,54180.01533108144,0.7266350440146429,0.6373298184577342,0,351.0,574.0,True
95,95,576,996.0199600798404,969.13373253493,501,32752.80315306081,48314.95386895298,0.4626884147642301,0.5992026375372327,0,427.0,576.0,True
96,96,594,891.3438395415473,44.46991404011462,349,13128.912363521236,17731.8838616297,0.5258049114911287,1.3102072440966313,0,74.0,594.0,True
97,97,598,975.706989247312,989.6559139784946,372,26137.97795505981,36003.788369042915,0.6289706148066294,0.2188788205235826,0,428.0,598.0,True
98,98,615,848.1470588235294,916.970588235294,34,19608.841168111296,20554.15808348965,0.7138740132985429,0.1732264704315848,0,,,
99,99,617,873.4955156950673,183.93273542600895,446,17906.283213101036,23554.30549204165,0.3848235506421725,-1.0164074669490033,0,82.0,617.0,True
