trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/max_distance,config/splitting_max_distance,config/gap_closing
71d39_00403,0.9993449526260382,0.999672369006108,0.999672369006108,0.9908497343848728,0.9955886826893824,0.979757085020243,338.5473701953888,True,,,1,c0d57fb50c654aeeb3bf82a69258a579,2022-11-09_20-06-09,1667991969,338.5473701953888,58769,thunders,172.21.5.15,338.5473701953888,0,1,0.003240823745727539,403,38.0,29.0,1
71d39_00435,0.9993449526260382,0.999672369006108,0.999672369006108,0.9908497343848728,0.9955886826893824,0.979757085020243,332.21887850761414,True,,,1,90a5753b975c4c4dbfcbdd412dc87ab6,2022-11-09_20-09-53,1667992193,332.21887850761414,59592,thunders,172.21.5.15,332.21887850761414,0,1,0.008286476135253906,435,41.0,29.0,1
71d39_00434,0.9993449526260382,0.999672369006108,0.999672369006108,0.9908497343848728,0.9955886826893824,0.979757085020243,328.48615741729736,True,,,1,5af95962f46c4a6ab8be2bd9db6ee07d,2022-11-09_20-09-47,1667992187,328.48615741729736,59932,thunders,172.21.5.15,328.48615741729736,0,1,0.0075070858001708984,434,41.0,29.0,0
71d39_00402,0.9993449526260382,0.999672369006108,0.999672369006108,0.9908497343848728,0.9955886826893824,0.979757085020243,332.11866521835327,True,,,1,cbb781ad73664bbd968c893a51f060ae,2022-11-09_20-05-26,1667991926,332.11866521835327,59514,thunders,172.21.5.15,332.11866521835327,0,1,0.007443666458129883,402,38.0,29.0,0
71d39_00339,0.9993332553515031,0.9996606678991833,0.9996723651724179,0.9908496273153836,0.9955301771547589,0.979757085020243,330.9594452381134,True,,,1,f60524fbfea84a5c80f386350bdaa92e,2022-11-09_19-59-02,1667991542,330.9594452381134,59644,thunders,172.21.5.15,330.9594452381134,0,1,0.0030078887939453125,339,32.0,29.0,1
71d39_00371,0.9993332553515031,0.9996606678991833,0.9996723651724179,0.9908496273153836,0.9955301771547589,0.979757085020243,337.4776997566223,True,,,1,aa98f3c724ae4fc783edd911229936de,2022-11-09_20-02-00,1667991720,337.4776997566223,58761,thunders,172.21.5.15,337.4776997566223,0,1,0.0040435791015625,371,35.0,29.0,1
71d39_00370,0.9993332553515031,0.9996606678991833,0.9996723651724179,0.9908496273153836,0.9955301771547589,0.979757085020243,323.71862745285034,True,,,1,c1d06e6c21dd4667abb8bc283afb3162,2022-11-09_20-01-45,1667991705,323.71862745285034,58756,thunders,172.21.5.15,323.71862745285034,0,1,0.0031936168670654297,370,35.0,29.0,0
71d39_00338,0.9993332553515031,0.9996606678991833,0.9996723651724179,0.9908496273153836,0.9955301771547589,0.979757085020243,337.4390413761139,True,,,1,90a5753b975c4c4dbfcbdd412dc87ab6,2022-11-09_19-58-49,1667991529,337.4390413761139,59592,thunders,172.21.5.15,337.4390413761139,0,1,0.008286476135253906,338,32.0,29.0,0
71d39_00401,0.9993332241536625,0.9996138634714844,0.999719143856857,0.9838975811264672,0.9969226088787999,0.9595141700404858,335.95629715919495,True,,,1,b15df5f04f5849f19a41e24c767381bb,2022-11-09_20-05-24,1667991924,335.95629715919495,59512,thunders,172.21.5.15,335.95629715919495,0,1,0.003127574920654297,401,38.0,26.0,1
71d39_00432,0.9993332241536625,0.9996138634714844,0.999719143856857,0.9838975811264672,0.9969226088787999,0.9595141700404858,325.8346917629242,True,,,1,529a72bb33204c57b2f0554aa50d1b8a,2022-11-09_20-09-13,1667992153,325.8346917629242,59673,thunders,172.21.5.15,325.8346917629242,0,1,0.010805845260620117,432,41.0,26.0,0
71d39_00433,0.9993332241536625,0.9996138634714844,0.999719143856857,0.9838975811264672,0.9969226088787999,0.9595141700404858,332.2918348312378,True,,,1,395af6683a0a4ef39c1304cf0a8374f8,2022-11-09_20-09-27,1667992167,332.2918348312378,59596,thunders,172.21.5.15,332.2918348312378,0,1,0.0052607059478759766,433,41.0,26.0,1
71d39_00400,0.9993332241536625,0.9996138634714844,0.999719143856857,0.9838975811264672,0.9969226088787999,0.9595141700404858,323.3400454521179,True,,,1,4f151dc6760045949de805eb7aaa890a,2022-11-09_20-05-04,1667991904,323.3400454521179,59508,thunders,172.21.5.15,323.3400454521179,0,1,0.010445356369018555,400,38.0,26.0,0
71d39_00437,0.999321581883897,0.9996840701130327,0.9996372826621113,0.9923946364636229,0.9951206384123938,0.9838056680161943,329.42748641967773,True,,,1,f60524fbfea84a5c80f386350bdaa92e,2022-11-09_20-10-05,1667992205,329.42748641967773,59644,thunders,172.21.5.15,329.42748641967773,0,1,0.0030078887939453125,437,41.0,32.0,1
