trial_id,union_ratio,true_ratio,predicted_ratio,track_purity,target_effectiveness,division_recovery,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/drift_x,config/drift_y,config/max_distance,config/splitting_max_distance,config/gap_closing_max_distance,config/gap_closing,search_name
66da0492,0.04612045577862181,0.96045197740113,0.04620820875237836,-1.0,-1.0,-1.0,11.606325149536133,True,,,1,c8dcb3d233844c26a8fd98354378c04d,2022-09-06_10-37-11,1662428231,11.606325149536133,85682,bwmpc0651,10.3.6.51,11.606325149536133,0,1,0.0022420883178710938,"33_drift_x=-21.6804,drift_y=-7.2919,gap_closing=0,gap_closing_max_distance=37.3640,max_distance=34.5816,splitting_max_distance=37.5848",-21.680372903699123,-7.291945644019466,34.581558075732204,37.58484528653355,37.364024154420015,0,OptunaSearch
992218e0,0.045983229645658645,0.96045197740113,0.04607046070460705,-1.0,-1.0,-1.0,11.057761907577515,True,,,1,4147302f1a5649e385581f3516dcf8e8,2022-09-06_10-38-35,1662428315,11.057761907577515,85670,bwmpc0651,10.3.6.51,11.057761907577515,0,1,0.0023398399353027344,"70_drift_x=-21.5774,drift_y=-8.3168,gap_closing=0,gap_closing_max_distance=34.3875,max_distance=35.8242,splitting_max_distance=41.3266",-21.57736696575243,-8.31678781366282,35.82419157362087,41.32660543940117,34.38754788459005,0,OptunaSearch
66e127ae,0.045983229645658645,0.96045197740113,0.04607046070460705,-1.0,-1.0,-1.0,11.35560417175293,True,,,1,76df7a7a2bd44b69ba790721faad5658,2022-09-06_10-37-11,1662428231,11.35560417175293,85678,bwmpc0651,10.3.6.51,11.35560417175293,0,1,0.002170562744140625,"34_drift_x=-18.2114,drift_y=-7.2507,gap_closing=0,gap_closing_max_distance=36.9739,max_distance=35.0256,splitting_max_distance=38.0956",-18.211350329604397,-7.250665512450073,35.02559488463913,38.09562703601617,36.97385386055745,0,OptunaSearch
66e694dc,0.04599567099567099,0.96045197740113,0.04608294930875576,-1.0,-1.0,-1.0,11.693592309951782,True,,,1,80acca0b126d46b1b6d5e8171a687f3b,2022-09-06_10-37-12,1662428232,11.693592309951782,85680,bwmpc0651,10.3.6.51,11.693592309951782,0,1,0.002624988555908203,"35_drift_x=-18.0524,drift_y=-7.2131,gap_closing=0,gap_closing_max_distance=37.4561,max_distance=36.4549,splitting_max_distance=37.6868",-18.05236154340703,-7.213085492957916,36.45486758583105,37.686789018738814,37.45614369338938,0,OptunaSearch
a3d3f2f4,0.04588394062078273,0.96045197740113,0.04597079502433748,-1.0,-1.0,-1.0,11.365246772766113,True,,,1,80acca0b126d46b1b6d5e8171a687f3b,2022-09-06_10-38-53,1662428333,11.365246772766113,85680,bwmpc0651,10.3.6.51,11.365246772766113,0,1,0.002624988555908203,"82_drift_x=-14.5701,drift_y=-8.0928,gap_closing=0,gap_closing_max_distance=31.9298,max_distance=33.1557,splitting_max_distance=36.9094",-14.570111442509004,-8.092757607992977,33.15572948064643,36.90935790682126,31.92981452272701,0,OptunaSearch
8bdb395a,0.04594594594594595,0.96045197740113,0.04603303547251557,-1.0,-1.0,-1.0,11.20461654663086,True,,,1,4147302f1a5649e385581f3516dcf8e8,2022-09-06_10-38-13,1662428293,11.20461654663086,85670,bwmpc0651,10.3.6.51,11.20461654663086,0,1,0.0023398399353027344,"62_drift_x=-18.2267,drift_y=-6.2015,gap_closing=0,gap_closing_max_distance=38.7848,max_distance=35.8726,splitting_max_distance=39.0327",-18.226705590506597,-6.201458328267376,35.87255649264303,39.03269168661078,38.78478924951008,0,OptunaSearch
a3dc8464,0.0458963282937365,0.96045197740113,0.045983229645658645,-1.0,-1.0,-1.0,12.851743459701538,True,,,1,f90d8509da7f465899926affaaba4349,2022-09-06_10-38-55,1662428335,12.851743459701538,87746,bwmpc0651,10.3.6.51,12.851743459701538,0,1,0.0034017562866210938,"83_drift_x=-14.7284,drift_y=-7.1984,gap_closing=0,gap_closing_max_distance=31.4821,max_distance=32.8208,splitting_max_distance=36.3388",-14.728441736748401,-7.198427475507252,32.8207800818228,36.338832116121786,31.48206969913158,0,OptunaSearch
f24e1630,0.04713057942888827,0.96045197740113,0.04722222222222222,-1.0,-1.0,-1.0,11.470754146575928,True,,,1,f12486eb1e4d448ba2f0d6963be5761e,2022-09-06_10-41-05,1662428465,11.470754146575928,89892,bwmpc0651,10.3.6.51,11.470754146575928,0,1,0.0024619102478027344,"19_drift_x=-17.6630,drift_y=-7.2161,gap_closing=1,gap_closing_max_distance=24.3261,max_distance=33.1948,splitting_max_distance=24.5500",-17.66303765898814,-7.216100033979715,33.19475039659554,24.549951510463806,24.326118694214056,1,OptunaSearch
a3e89d8a,0.04612045577862181,0.96045197740113,0.04620820875237836,-1.0,-1.0,-1.0,11.982219219207764,True,,,1,0e5e54a1132e408694a522f2f786a3f5,2022-09-06_10-39-14,1662428354,11.982219219207764,89107,bwmpc0651,10.3.6.51,11.982219219207764,0,1,0.004141092300415039,"85_drift_x=-19.7545,drift_y=-8.2634,gap_closing=0,gap_closing_max_distance=27.5269,max_distance=33.0775,splitting_max_distance=36.2487",-19.754526785863735,-8.26341688277886,33.07752819722835,36.2487321577692,27.526943105504188,0,OptunaSearch
af8ddede,0.04608294930875576,0.96045197740113,0.04617055947854427,-1.0,-1.0,-1.0,13.047954797744751,True,,,1,f90d8509da7f465899926affaaba4349,2022-09-06_10-39-15,1662428355,13.047954797744751,87746,bwmpc0651,10.3.6.51,13.047954797744751,0,1,0.0034017562866210938,"86_drift_x=-19.8630,drift_y=-8.3086,gap_closing=0,gap_closing_max_distance=31.5437,max_distance=31.0605,splitting_max_distance=36.6675",-19.86295181876682,-8.308607710306976,31.06049839127018,36.6675206209354,31.543716521927607,0,OptunaSearch
66d438b4,0.04615802335052946,0.96045197740113,0.046245919477693145,-1.0,-1.0,-1.0,11.633702993392944,True,,,1,4147302f1a5649e385581f3516dcf8e8,2022-09-06_10-37-11,1662428231,11.633702993392944,85670,bwmpc0651,10.3.6.51,11.633702993392944,0,1,0.0023398399353027344,"32_drift_x=-22.4074,drift_y=-6.9093,gap_closing=0,gap_closing_max_distance=41.2792,max_distance=34.1761,splitting_max_distance=37.3410",-22.40739272091536,-6.9093062377534284,34.17605916296864,37.34102514285043,41.279190222851874,0,OptunaSearch
7430a7b8,0.04607046070460705,0.96045197740113,0.04615802335052946,-1.0,-1.0,-1.0,11.879860877990723,True,,,1,2d1b42c6af554e439adceb621aef2125,2022-09-06_10-37-34,1662428254,11.879860877990723,85672,bwmpc0651,10.3.6.51,11.879860877990723,0,1,0.0029821395874023438,"42_drift_x=-20.2073,drift_y=-8.7642,gap_closing=0,gap_closing_max_distance=34.5718,max_distance=37.5762,splitting_max_distance=37.3757",-20.207279557447283,-8.764154482304862,37.57619419306879,37.375696577746645,34.57177690793474,0,OptunaSearch
afb7ab06,0.04604550379198267,0.96045197740113,0.04613297150610583,-1.0,-1.0,-1.0,10.622226476669312,True,,,1,76df7a7a2bd44b69ba790721faad5658,2022-09-06_10-39-13,1662428353,10.622226476669312,85678,bwmpc0651,10.3.6.51,10.622226476669312,0,1,0.002170562744140625,"92_drift_x=-19.6979,drift_y=-6.6407,gap_closing=0,gap_closing_max_distance=29.1413,max_distance=34.4493,splitting_max_distance=38.2491",-19.697896253474333,-6.6406847173182495,34.44933781721448,38.249146654599414,29.141267049759797,0,OptunaSearch
306d3cda,0.04613297150610583,0.96045197740113,0.046220772158781946,-1.0,-1.0,-1.0,11.189928770065308,True,,,1,80acca0b126d46b1b6d5e8171a687f3b,2022-09-06_10-36-06,1662428166,11.189928770065308,85680,bwmpc0651,10.3.6.51,11.189928770065308,0,1,0.002624988555908203,"10_drift_x=-14.8047,drift_y=-7.5545,gap_closing=0,gap_closing_max_distance=30.7975,max_distance=30.3521,splitting_max_distance=32.9809",-14.804713106041396,-7.554451807255126,30.352104415567062,32.980865961668144,30.797531304473033,0,OptunaSearch
a3e2f89e,0.04588394062078273,0.96045197740113,0.04597079502433748,-1.0,-1.0,-1.0,12.272533416748047,True,,,1,507da5fe0fd440c9ad0b6515c043c492,2022-09-06_10-38-54,1662428334,12.272533416748047,86736,bwmpc0651,10.3.6.51,12.272533416748047,0,1,0.0030753612518310547,"84_drift_x=-14.3145,drift_y=-7.1592,gap_closing=0,gap_closing_max_distance=31.5051,max_distance=32.5589,splitting_max_distance=36.6215",-14.314467258736741,-7.159201789706971,32.558905845752385,36.62152810180775,31.50508915554779,0,OptunaSearch
72c41_00009,0.046220772158781946,0.96045197740113,0.04630890765459003,-1.0,-1.0,-1.0,11.621319770812988,True,,,1,83a9078910204ff2b2b9aa41315fbd18,2022-09-06_10-24-39,1662427479,11.621319770812988,76938,bwmpc0651,10.3.6.51,11.621319770812988,0,1,0.0028433799743652344,"9_drift_x=-18.1088,drift_y=-9.0447,gap_closing_max_distance=23.0396,max_distance=29.1064,splitting_max_distance=33.5007",-18.10877294252336,-9.044711437921968,29.106385991604824,33.50066712220391,23.03958017866085,0,RandomSearch
72c41_00087,0.04599567099567099,0.96045197740113,0.04608294930875576,-1.0,-1.0,-1.0,11.310365438461304,True,,,1,9d57e034b35a4e018fb25fd550a88dd0,2022-09-06_10-27-53,1662427673,11.310365438461304,79634,bwmpc0651,10.3.6.51,11.310365438461304,0,1,0.004160642623901367,"87_drift_x=-20.1654,drift_y=-5.9346,gap_closing_max_distance=33.6103,max_distance=39.8079,splitting_max_distance=40.1451",-20.16538939231143,-5.934582662465417,39.807884782880336,40.14509820976411,33.61033826775683,0,RandomSearch
72c41_00046,0.04678040726472207,0.96045197740113,0.04687069203198235,-1.0,-1.0,-1.0,12.04623818397522,True,,,1,6aa0d5940aee455aa3cee80fb4ec0bf2,2022-09-06_10-26-14,1662427574,12.04623818397522,76579,bwmpc0651,10.3.6.51,12.04623818397522,0,1,0.0020956993103027344,"46_drift_x=-20.1952,drift_y=-8.1733,gap_closing_max_distance=10.8950,max_distance=38.4344,splitting_max_distance=28.6459",-20.19519570929535,-8.1733374883718,38.43441669201185,28.64589611226777,10.895017121097288,0,RandomSearch
31789cfe,0.04674965421853389,0.9548022598870056,0.0468533407263654,-1.0,-1.0,-1.0,10.921204805374146,True,,,1,260a7df391df4139bfddba6b91d53bb6,2022-09-06_10-42-51,1662428571,10.921204805374146,89907,bwmpc0651,10.3.6.51,10.921204805374146,0,1,0.0029823780059814453,"60_drift_x=-16.3188,drift_y=-5.6417,gap_closing=1,gap_closing_max_distance=23.3709,max_distance=30.7803,splitting_max_distance=25.9033",-16.31877232138302,-5.641658991967271,30.780253173013058,25.903290446813244,23.370850076509758,1,OptunaSearch
7f7d8898,0.04584915897992404,0.9548022598870056,0.04594888526373029,-1.0,-1.0,-1.0,11.804084300994873,True,,,1,3a5fb4e05bde4452a15e56738082ef01,2022-09-06_10-37-53,1662428273,11.804084300994873,85676,bwmpc0651,10.3.6.51,11.804084300994873,0,1,0.0022287368774414062,"54_drift_x=-17.4903,drift_y=-9.7792,gap_closing=0,gap_closing_max_distance=38.4694,max_distance=28.8776,splitting_max_distance=34.0151",-17.490272949303275,-9.779222253234575,28.877628479220864,34.01511458606477,38.46936487451145,0,OptunaSearch
3d4fa9d2,0.0470883254388409,0.9548022598870056,0.047193521362747834,-1.0,-1.0,-1.0,11.764677286148071,True,,,1,b39805fe4d4647c58e5bd03f225716d1,2022-09-06_10-43-11,1662428591,11.764677286148071,90655,bwmpc0651,10.3.6.51,11.764677286148071,0,1,0.0038738250732421875,"72_drift_x=-17.2111,drift_y=-8.3071,gap_closing=1,gap_closing_max_distance=16.7854,max_distance=29.3643,splitting_max_distance=22.9474",-17.211116643873236,-8.307079091941077,29.36433707603707,22.947438574328455,16.785354300624725,1,OptunaSearch
530b8ba6,0.04570037858301785,0.9548022598870056,0.04579945799457995,-1.0,-1.0,-1.0,10.879093170166016,True,,,1,e0c6c24287094cf397fd665d9cd6227c,2022-09-06_10-43-47,1662428627,10.879093170166016,92181,bwmpc0651,10.3.6.51,10.879093170166016,0,1,0.003376007080078125,"86_drift_x=-19.0843,drift_y=-7.6719,gap_closing=1,gap_closing_max_distance=13.5231,max_distance=29.3422,splitting_max_distance=38.7317",-19.084325140895363,-7.671899062583762,29.34220720393384,38.731661958909335,13.523146007459456,1,OptunaSearch
316be860,0.04690535664723841,0.9548022598870056,0.04700973574408901,-1.0,-1.0,-1.0,12.547255754470825,True,,,1,ad29e601a82040d6bd870627ccf8055f,2022-09-06_10-42-52,1662428572,12.547255754470825,89801,bwmpc0651,10.3.6.51,12.547255754470825,0,1,0.004777669906616211,"59_drift_x=-20.3396,drift_y=-8.9174,gap_closing=1,gap_closing_max_distance=33.6292,max_distance=30.7877,splitting_max_distance=25.6588",-20.33963427219235,-8.917367135574802,30.78769155581133,25.65876783402561,33.62915966209129,1,OptunaSearch
a3cd8e78,0.04563867134755604,0.9548022598870056,0.04573748308525034,-1.0,-1.0,-1.0,11.759100675582886,True,,,1,3a5fb4e05bde4452a15e56738082ef01,2022-09-06_10-38-54,1662428334,11.759100675582886,85676,bwmpc0651,10.3.6.51,11.759100675582886,0,1,0.0022287368774414062,"81_drift_x=-19.7321,drift_y=-8.4168,gap_closing=0,gap_closing_max_distance=31.7504,max_distance=38.0353,splitting_max_distance=40.6779",-19.732125776349253,-8.416795478691759,38.03531831684026,40.677896131103005,31.750414546792328,0,OptunaSearch
a3c511c6,0.04560172692930383,0.9548022598870056,0.04570037858301785,-1.0,-1.0,-1.0,11.62738299369812,True,,,1,24e53fd1b6ef476598fc9ba6c028af8e,2022-09-06_10-38-54,1662428334,11.62738299369812,87361,bwmpc0651,10.3.6.51,11.62738299369812,0,1,0.0039408206939697266,"80_drift_x=-18.7670,drift_y=-8.0401,gap_closing=0,gap_closing_max_distance=21.6781,max_distance=32.9735,splitting_max_distance=40.5696",-18.767020899272453,-8.040141855762153,32.97346700579516,40.56961794114157,21.678060471019155,0,OptunaSearch
9942a6fa,0.046225382932166305,0.9548022598870056,0.04632675438596491,-1.0,-1.0,-1.0,11.472140073776245,True,,,1,cdf58d33704b4b42ba26ad588779a8a9,2022-09-06_10-38-53,1662428333,11.472140073776245,88731,bwmpc0651,10.3.6.51,11.472140073776245,0,1,0.0043637752532958984,"76_drift_x=-21.5618,drift_y=-8.1829,gap_closing=0,gap_closing_max_distance=31.6702,max_distance=41.6703,splitting_max_distance=31.8379",-21.56181959999462,-8.182874725185291,41.67027238867882,31.83792360247135,31.670177253264832,0,OptunaSearch
ba63fb36,0.04560172692930383,0.9548022598870056,0.04570037858301785,-1.0,-1.0,-1.0,13.824917793273926,True,,,1,80acca0b126d46b1b6d5e8171a687f3b,2022-09-06_10-39-34,1662428374,13.824917793273926,85680,bwmpc0651,10.3.6.51,13.824917793273926,0,1,0.002624988555908203,"96_drift_x=-13.9348,drift_y=-7.5255,gap_closing=0,gap_closing_max_distance=27.4527,max_distance=31.2022,splitting_max_distance=36.4434",-13.934785039521907,-7.525496127213332,31.202157423972547,36.44335284355075,27.452659125078963,0,OptunaSearch
5a304710,0.04584915897992404,0.9548022598870056,0.04594888526373029,-1.0,-1.0,-1.0,12.177542209625244,True,,,1,4147302f1a5649e385581f3516dcf8e8,2022-09-06_10-36-51,1662428211,12.177542209625244,85670,bwmpc0651,10.3.6.51,12.177542209625244,0,1,0.0023398399353027344,"29_drift_x=-22.2617,drift_y=-7.6533,gap_closing=0,gap_closing_max_distance=40.8587,max_distance=31.7302,splitting_max_distance=37.3716",-22.261681734095372,-7.65334959629662,31.73021025945679,37.371641850265554,40.85873128104847,0,OptunaSearch
7f6d9398,0.046036502315445385,0.9548022598870056,0.04613704613704614,-1.0,-1.0,-1.0,11.688632011413574,True,,,1,80acca0b126d46b1b6d5e8171a687f3b,2022-09-06_10-37-53,1662428273,11.688632011413574,85680,bwmpc0651,10.3.6.51,11.688632011413574,0,1,0.002624988555908203,"51_drift_x=-20.7958,drift_y=-4.7685,gap_closing=0,gap_closing_max_distance=33.1173,max_distance=39.7043,splitting_max_distance=33.1459",-20.795788506562445,-4.7684590632595345,39.70431467801944,33.1459467951723,33.117338258153275,0,OptunaSearch
7f82191c,0.04607415485278081,0.9548022598870056,0.04617486338797814,-1.0,-1.0,-1.0,11.88076114654541,True,,,1,4147302f1a5649e385581f3516dcf8e8,2022-09-06_10-37-53,1662428273,11.88076114654541,85670,bwmpc0651,10.3.6.51,11.88076114654541,0,1,0.0023398399353027344,"55_drift_x=-20.6255,drift_y=-10.0999,gap_closing=0,gap_closing_max_distance=39.0760,max_distance=28.5122,splitting_max_distance=34.1343",-20.625518983353807,-10.099897912819406,28.512240311971677,34.13425991887075,39.075982872670394,0,OptunaSearch
5a2a99d2,0.04668508287292818,0.9548022598870056,0.04678848283499446,-1.0,-1.0,-1.0,11.904425859451294,True,,,1,f57c8d68838c4259b48c02141d5958b8,2022-09-06_10-36-50,1662428210,11.904425859451294,86022,bwmpc0651,10.3.6.51,11.904425859451294,0,1,0.0033190250396728516,"28_drift_x=-22.7431,drift_y=-7.3176,gap_closing=0,gap_closing_max_distance=40.4614,max_distance=33.0031,splitting_max_distance=28.0796",-22.743105489729484,-7.317557323686689,33.003063413999314,28.07963554171719,40.461358488828424,0,OptunaSearch
8bee899c,0.04725950782997763,0.9548022598870056,0.047365470852017935,-1.0,-1.0,-1.0,11.44127893447876,True,,,1,fe837d95729d47448287a049a7dc406a,2022-09-06_10-38-13,1662428293,11.44127893447876,86390,bwmpc0651,10.3.6.51,11.44127893447876,0,1,0.0038373470306396484,"65_drift_x=-16.3391,drift_y=-6.1856,gap_closing=0,gap_closing_max_distance=37.8117,max_distance=36.2957,splitting_max_distance=19.7776",-16.339088865704635,-6.185633160265157,36.29572382310617,19.777603188809177,37.811708011825985,0,OptunaSearch
3d484d4a,0.04784824462061155,0.9548022598870056,0.04795686719636776,-1.0,-1.0,-1.0,12.08640718460083,True,,,1,f4bf0c54607a4a31b39ae737d380d1ee,2022-09-06_10-43-12,1662428592,12.08640718460083,90277,bwmpc0651,10.3.6.51,12.08640718460083,0,1,0.0033729076385498047,"71_drift_x=-20.1915,drift_y=-8.8788,gap_closing=1,gap_closing_max_distance=17.0674,max_distance=25.0280,splitting_max_distance=23.2838",-20.191457293236923,-8.878792754907849,25.028046670815343,23.28376818170522,17.06735998084443,1,OptunaSearch
317d7abc,0.046866333887964504,0.9548022598870056,0.04697053918843802,-1.0,-1.0,-1.0,11.560308694839478,True,,,1,f4bf0c54607a4a31b39ae737d380d1ee,2022-09-06_10-42-51,1662428571,11.560308694839478,90277,bwmpc0651,10.3.6.51,11.560308694839478,0,1,0.0033729076385498047,"61_drift_x=-20.3419,drift_y=-8.8023,gap_closing=1,gap_closing_max_distance=23.0940,max_distance=31.1608,splitting_max_distance=25.7322",-20.341910852535914,-8.802336049101187,31.16081738626632,25.732218556940104,23.09400722880898,1,OptunaSearch
3182122a,0.047206703910614524,0.9548022598870056,0.04731243001119821,-1.0,-1.0,-1.0,11.922933340072632,True,,,1,0c1da1e934744358b038883f3cdad136,2022-09-06_10-42-52,1662428572,11.922933340072632,91827,bwmpc0651,10.3.6.51,11.922933340072632,0,1,0.0029931068420410156,"62_drift_x=-20.2038,drift_y=-8.7374,gap_closing=1,gap_closing_max_distance=22.8057,max_distance=25.5344,splitting_max_distance=25.9921",-20.20376625259483,-8.737367670140078,25.53441793639405,25.992092380406913,22.80574853355738,1,OptunaSearch
318ba45c,0.046263345195729534,0.9548022598870056,0.04636488340192044,-1.0,-1.0,-1.0,12.430983066558838,True,,,1,5b6a7cdfe5e744e9bfd6b444d4f991da,2022-09-06_10-42-52,1662428572,12.430983066558838,89909,bwmpc0651,10.3.6.51,12.430983066558838,0,1,0.002492666244506836,"64_drift_x=-20.6847,drift_y=-8.7710,gap_closing=1,gap_closing_max_distance=21.9334,max_distance=30.1313,splitting_max_distance=31.8949",-20.68466329819179,-8.771023346483446,30.131330607895276,31.894925206001467,21.933389235164487,1,OptunaSearch
74479d6a,0.045762252910912536,0.9548022598870056,0.04586160108548168,-1.0,-1.0,-1.0,12.081101417541504,True,,,1,fe837d95729d47448287a049a7dc406a,2022-09-06_10-37-34,1662428254,12.081101417541504,86390,bwmpc0651,10.3.6.51,12.081101417541504,0,1,0.0038373470306396484,"45_drift_x=-19.9473,drift_y=-5.5604,gap_closing=0,gap_closing_max_distance=33.4246,max_distance=41.4109,splitting_max_distance=37.7822",-19.94726615050547,-5.560434948393505,41.41091426012283,37.78221559003914,33.42457771059797,0,OptunaSearch
3196b11c,0.04601143479444596,0.9548022598870056,0.0461118690313779,-1.0,-1.0,-1.0,11.619460821151733,True,,,1,9ca0021e12c043778a2c2a66d57534fb,2022-09-06_10-42-52,1662428572,11.619460821151733,89901,bwmpc0651,10.3.6.51,11.619460821151733,0,1,0.006613254547119141,"66_drift_x=-20.4106,drift_y=-8.1916,gap_closing=1,gap_closing_max_distance=16.5566,max_distance=24.8263,splitting_max_distance=34.8002",-20.410630002109606,-8.191622203143936,24.82634023970776,34.80017384739428,16.556556167403777,1,OptunaSearch
319d5ad0,0.04591143710948112,0.9548022598870056,0.04601143479444596,-1.0,-1.0,-1.0,11.693537712097168,True,,,1,2bc09183fb86458d90ba8f39ed636353,2022-09-06_10-43-11,1662428591,11.693537712097168,92547,bwmpc0651,10.3.6.51,11.693537712097168,0,1,0.003602266311645508,"67_drift_x=-20.2094,drift_y=-8.6620,gap_closing=1,gap_closing_max_distance=16.7495,max_distance=24.5920,splitting_max_distance=35.4881",-20.20940995077329,-8.66201121419843,24.5920226699851,35.488073857452434,16.749506095340987,1,OptunaSearch
