trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/max_distance,config/splitting_max_distance,config/gap_closing_max_distance,config/gap_closing,search_name
75069_00054,0.03482245131729668,0.7378640776699029,0.03525864068661563,-1.0,-1.0,-1.0,12.167463779449463,True,,,1,aed26f803a9b417e9ed173a94a3e3d69,2022-11-10_16-10-00,1668064200,12.167463779449463,140562,thunders,172.21.5.15,12.167463779449463,0,1,0.0039196014404296875,"54_gap_closing_max_distance=41.2248,max_distance=38.5006,splitting_max_distance=38.9272",38.50059687004415,38.927207877977516,41.22483541722666,0,RandomSearch
dc528_00075,0.03475080018289895,0.7378640776699029,0.03518518518518519,-1.0,-1.0,-1.0,12.089629650115967,True,,,1,5a024c06bbf941f28511b69934de6a06,2022-11-10_16-13-21,1668064401,12.089629650115967,144724,thunders,172.21.5.15,12.089629650115967,0,1,0.003122568130493164,"75_gap_closing_max_distance=30.3963,max_distance=37.3676,splitting_max_distance=47.9183",37.367626834375,47.91828489870464,30.39630068149577,1,RandomSearch
dc528_00027,0.03475080018289895,0.7378640776699029,0.03518518518518519,-1.0,-1.0,-1.0,12.320746183395386,True,,,1,a8bfcd33bf074b399a9bec74c248b897,2022-11-10_16-12-06,1668064326,12.320746183395386,143113,thunders,172.21.5.15,12.320746183395386,0,1,0.003520488739013672,"27_gap_closing_max_distance=47.7971,max_distance=38.8809,splitting_max_distance=46.5088",38.88091493628889,46.50876939662206,47.79706800733669,1,RandomSearch
dc528_00093,0.03480650332035722,0.7378640776699029,0.03524229074889868,-1.0,-1.0,-1.0,12.532912015914917,True,,,1,c936df1bf8714b57bffda4f6de5b2f93,2022-11-10_16-13-51,1668064431,12.532912015914917,145358,thunders,172.21.5.15,12.532912015914917,0,1,0.003042459487915039,"93_gap_closing_max_distance=38.9156,max_distance=37.3857,splitting_max_distance=40.0643",37.385708539330395,40.06425687603456,38.91555910259112,1,RandomSearch
75069_00064,0.034726981951108064,0.7378640776699029,0.03516076798519547,-1.0,-1.0,-1.0,12.021857500076294,True,,,1,88ac155c88304229ae7cfa5015e6fd88,2022-11-10_16-10-15,1668064215,12.021857500076294,140927,thunders,172.21.5.15,12.021857500076294,0,1,0.003145456314086914,"64_gap_closing_max_distance=57.8752,max_distance=38.3082,splitting_max_distance=59.8047",38.308231455514104,59.80466186872043,57.87524844722623,0,RandomSearch
6f0e769a,0.03473491773308958,0.7378640776699029,0.035168903285515966,-1.0,-1.0,-1.0,11.908085346221924,True,,,1,0f1c8dfb45e14339af685305ec4406f2,2022-11-10_16-15-34,1668064534,11.908085346221924,147235,thunders,172.21.5.15,11.908085346221924,0,1,0.0034513473510742188,"52_gap_closing=0,gap_closing_max_distance=40.3347,max_distance=38.5788,splitting_max_distance=57.4763",38.578786188353995,57.47634086339663,40.33473254018576,0,OptunaSearch
6f272604,0.03471904979442668,0.7378640776699029,0.03515263644773358,-1.0,-1.0,-1.0,11.919984102249146,True,,,1,38b4ab7714824199a8ffbc3b780cc12a,2022-11-10_16-15-34,1668064534,11.919984102249146,147241,thunders,172.21.5.15,11.919984102249146,0,1,0.0033686161041259766,"53_gap_closing=0,gap_closing_max_distance=43.8026,max_distance=38.8884,splitting_max_distance=58.1279",38.888403743128755,58.12792315931537,43.80262662163552,0,OptunaSearch
70dc0ae6,0.03471904979442668,0.7378640776699029,0.03515263644773358,-1.0,-1.0,-1.0,11.730996131896973,True,,,1,ff394d318a524363ab909c8477991c5a,2022-11-10_16-15-37,1668064537,11.730996131896973,147353,thunders,172.21.5.15,11.730996131896973,0,1,0.0037653446197509766,"55_gap_closing=0,gap_closing_max_distance=32.1765,max_distance=38.6818,splitting_max_distance=57.9439",38.68184784830365,57.94390210229234,32.17648048535207,0,OptunaSearch
712c0a96,0.034886389717695664,0.7378640776699029,0.03532419242389031,-1.0,-1.0,-1.0,11.537381887435913,True,,,1,bdcbc84cdf95432f9037e8ce4c3c04c8,2022-11-10_16-15-37,1668064537,11.537381887435913,147363,thunders,172.21.5.15,11.537381887435913,0,1,0.003758668899536133,"56_gap_closing=0,gap_closing_max_distance=40.8723,max_distance=38.5896,splitting_max_distance=37.1765",38.589561935024,37.17648901831049,40.87226923648251,0,OptunaSearch
7a337cc8,0.03486238532110092,0.7378640776699029,0.03529958197863446,-1.0,-1.0,-1.0,11.952600002288818,True,,,1,1e05c60ff4784111a207ecbb8314ed5b,2022-11-10_16-15-52,1668064552,11.952600002288818,147683,thunders,172.21.5.15,11.952600002288818,0,1,0.0036478042602539062,"68_gap_closing=0,gap_closing_max_distance=32.1811,max_distance=38.2747,splitting_max_distance=38.1689",38.274705772477866,38.16889606525851,32.181145650465886,0,OptunaSearch
