trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/drift_x,config/drift_y,config/max_distance,config/splitting_max_distance,config/gap_closing_max_distance,config/gap_closing,search_name
f15e360e,0.04997666459240822,1.0,0.04997666459240822,-1.0,-1.0,-1.0,93.09680128097534,True,,,1,e6eaf8818d95465bb98259092f1d02f6,2022-11-10_17-24-59,1668068699,93.09680128097534,189500,thunders,172.21.5.15,93.09680128097534,0,1,0.0030422210693359375,"90_drift_x=-3.6740,drift_y=-0.5567,gap_closing=0,gap_closing_max_distance=6.3036,max_distance=17.0556,splitting_max_distance=17.5349",-3.6740365359710387,-0.5566552060886979,17.0556389119562,17.534852066047815,6.303551683431667,0,OptunaSearch
9b07e8c8,0.049982496402038196,1.0,0.049982496402038196,-1.0,-1.0,-1.0,93.75675749778748,True,,,1,87f4e4823c384504bc1b6a2d59cbbd6d,2022-11-10_17-15-26,1668068126,93.75675749778748,185593,thunders,172.21.5.15,93.75675749778748,0,1,0.0037963390350341797,"30_drift_x=-3.2209,drift_y=1.2495,gap_closing=0,gap_closing_max_distance=6.6512,max_distance=11.0610,splitting_max_distance=17.5049",-3.2209467802444984,1.2495484496761982,11.061019365151775,17.504852469148567,6.651208922733122,0,OptunaSearch
d2da43ee,0.050062334424185756,1.0,0.050062334424185756,-1.0,-1.0,-1.0,91.82110476493835,True,,,1,b2d4eda501e54f8380dde302b50faac9,2022-11-10_17-24-07,1668068647,91.82110476493835,189219,thunders,172.21.5.15,91.82110476493835,0,1,0.0035741329193115234,"87_drift_x=-4.3217,drift_y=-0.2907,gap_closing=0,gap_closing_max_distance=4.0090,max_distance=11.6055,splitting_max_distance=13.9468",-4.32165126790753,-0.29066633825453,11.605453166033596,13.94679143795179,4.008988548757677,0,OptunaSearch
cfb962a8,0.05000194560099615,1.0,0.05000194560099615,-1.0,-1.0,-1.0,91.85339379310608,True,,,1,ff809f4d588e42158b20cd9d441a8ef9,2022-11-10_17-24-02,1668068642,91.85339379310608,189177,thunders,172.21.5.15,91.85339379310608,0,1,0.0037810802459716797,"86_drift_x=-3.4434,drift_y=-0.2048,gap_closing=0,gap_closing_max_distance=3.8501,max_distance=10.3186,splitting_max_distance=17.1544",-3.443351386371214,-0.20479942516008864,10.318554068013093,17.154383449519802,3.850116168776925,0,OptunaSearch
3eda5a7c,0.050042838227276266,1.0,0.050042838227276266,-1.0,-1.0,-1.0,97.08249568939209,True,,,1,93a8534697d1446c81b5467bd8e2d8ab,2022-11-10_17-12-54,1668067974,97.08249568939209,184734,thunders,172.21.5.15,97.08249568939209,0,1,0.0036475658416748047,"18_drift_x=-4.1236,drift_y=1.2744,gap_closing=0,gap_closing_max_distance=2.9393,max_distance=16.7349,splitting_max_distance=13.8759",-4.123561936835715,1.2744182550421974,16.734941839558406,13.875855132675753,2.9392752246704124,0,OptunaSearch
46161882,0.04998444064104559,1.0,0.04998444064104559,-1.0,-1.0,-1.0,92.44220614433289,True,,,1,537c17780a3c4e1dad054ae92f22e461,2022-11-10_17-34-31,1668069271,92.44220614433289,193073,thunders,172.21.5.15,92.44220614433289,0,1,0.0030393600463867188,"42_drift_x=-2.8112,drift_y=1.0580,gap_closing=1,gap_closing_max_distance=3.7504,max_distance=17.5702,splitting_max_distance=16.0735",-2.8112206574726377,1.0579963979837756,17.57020476986235,16.073463734869666,3.750368008289621,1,OptunaSearch
820a4d0c,0.04999610925219827,1.0,0.04999610925219827,-1.0,-1.0,-1.0,94.77867388725281,True,,,1,80b063f2a20749339537860b6f7a32a1,2022-11-10_17-14-44,1668068084,94.77867388725281,185415,thunders,172.21.5.15,94.77867388725281,0,1,0.003806591033935547,"28_drift_x=-3.3382,drift_y=1.1378,gap_closing=0,gap_closing_max_distance=6.6238,max_distance=16.2465,splitting_max_distance=16.2395",-3.338249574947505,1.1377992525482972,16.246538376351868,16.23951356614399,6.623772460385904,0,OptunaSearch
737d7e4e,0.04998832957286237,1.0,0.04998832957286237,-1.0,-1.0,-1.0,92.13821983337402,True,,,1,f71fc1d008804d598511afa7ea25f2e8,2022-11-10_17-14-18,1668068058,92.13821983337402,185095,thunders,172.21.5.15,92.13821983337402,0,1,0.0040073394775390625,"23_drift_x=-2.3084,drift_y=1.2524,gap_closing=0,gap_closing_max_distance=13.0740,max_distance=17.4302,splitting_max_distance=16.0249",-2.3083720474387928,1.2524277042989416,17.43019195449516,16.024868176550655,13.074048142771558,0,OptunaSearch
7e61308a,0.049982496402038196,1.0,0.049982496402038196,-1.0,-1.0,-1.0,91.11511182785034,True,,,1,aa1a636acbad463996685533dbaacb52,2022-11-10_17-14-35,1668068075,91.11511182785034,185369,thunders,172.21.5.15,91.11511182785034,0,1,0.0031309127807617188,"27_drift_x=-3.3479,drift_y=1.2226,gap_closing=0,gap_closing_max_distance=6.1379,max_distance=17.5158,splitting_max_distance=17.0906",-3.3479168614619947,1.2225569957897038,17.515840284071448,17.090608761564667,6.137851929394191,0,OptunaSearch
753560d0,0.04999027426570706,1.0,0.04999027426570706,-1.0,-1.0,-1.0,92.33215236663818,True,,,1,8eec733e647942988fe33a7ef8e946b3,2022-11-10_17-14-20,1668068060,92.33215236663818,185179,thunders,172.21.5.15,92.33215236663818,0,1,0.003546476364135742,"24_drift_x=-3.5848,drift_y=-1.4477,gap_closing=0,gap_closing_max_distance=6.1942,max_distance=16.7405,splitting_max_distance=17.1904",-3.5848394220359316,-1.447733934781949,16.7405402203,17.19043263342521,6.1941555723464425,0,OptunaSearch
7a583484,0.049982496402038196,1.0,0.049982496402038196,-1.0,-1.0,-1.0,88.52516603469849,True,,,1,36ad61b9743a42f0b6abe965b541837c,2022-11-10_17-14-25,1668068065,88.52516603469849,185312,thunders,172.21.5.15,88.52516603469849,0,1,0.003391742706298828,"26_drift_x=-3.4380,drift_y=1.1021,gap_closing=0,gap_closing_max_distance=5.9700,max_distance=16.8707,splitting_max_distance=17.1744",-3.43796329343372,1.1020926658798549,16.870651797358608,17.174425559640365,5.9699619365457375,0,OptunaSearch
761fac6c,0.04999221910986617,1.0,0.04999221910986617,-1.0,-1.0,-1.0,92.82537126541138,True,,,1,aa3a6df92e7b4f8b8853daa273f41717,2022-11-10_17-14-23,1668068063,92.82537126541138,185260,thunders,172.21.5.15,92.82537126541138,0,1,0.0035076141357421875,"25_drift_x=-3.5619,drift_y=-1.4355,gap_closing=0,gap_closing_max_distance=6.2425,max_distance=17.1105,splitting_max_distance=16.7412",-3.561949708773125,-1.4354528765271692,17.11046085532268,16.74117543972306,6.242527448751879,0,OptunaSearch
85615072,0.05000778331257783,1.0,0.05000778331257783,-1.0,-1.0,-1.0,94.10042572021484,True,,,1,d0f776a03fe1412c9683b12f479ae6d8,2022-11-10_17-14-50,1668068090,94.10042572021484,185460,thunders,172.21.5.15,94.10042572021484,0,1,0.0034093856811523438,"29_drift_x=-3.2769,drift_y=1.2528,gap_closing=0,gap_closing_max_distance=6.6717,max_distance=10.8502,splitting_max_distance=16.5349",-3.276945145961439,1.2527849769965738,10.850160153238217,16.534942496715882,6.67166990874468,0,OptunaSearch
992cdd8e,0.050009729519361744,1.0,0.050009729519361744,-1.0,-1.0,-1.0,91.2449746131897,True,,,1,f848b0d2627a4468be0288a7cba71636,2022-11-10_17-43-58,1668069838,91.2449746131897,197094,thunders,172.21.5.15,91.2449746131897,0,1,0.0031511783599853516,"100_drift_x=-4.5785,drift_y=0.6923,gap_closing=1,gap_closing_max_distance=16.7005,max_distance=15.7915,splitting_max_distance=15.8860",-4.578500480290082,0.6923172072447696,15.791467385414169,15.885985740668472,16.700537084318086,1,OptunaSearch
