trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing
4cd95_00127,0.9402664374731414,0.968141592920354,0.9702882483370289,0.8809312638580932,0.9471238938053097,0.6888361045130641,80.89652252197266,True,,,1,402832c6d0024e1f89ba5cba03da6fdf,2022-08-23_18-21-15,1661246475,80.89652252197266,271362,booster,172.21.5.13,80.89652252197266,0,1,0.010791778564453125,127,14.0,27.846153846153847,1
4cd95_00126,0.9398496240601504,0.9679203539823009,0.9700665188470067,0.8802660753880266,0.9471238938053097,0.6864608076009501,83.05677580833435,True,,,1,02202a9c01d74b2ca8770c630cba0622,2022-08-23_18-21-02,1661246462,83.05677580833435,271276,booster,172.21.5.13,83.05677580833435,0,1,0.011436939239501953,126,14.0,27.846153846153847,0
4cd95_00099,0.9394329896907216,0.9676991150442478,0.9698447893569845,0.8767184035476718,0.945353982300885,0.6817102137767221,90.89087986946106,True,,,1,1aa8adb8b1e0499e944db8a4a1e14339,2022-08-23_18-14-28,1661246068,90.89087986946106,269763,booster,172.21.5.13,90.89087986946106,0,1,0.016681909561157227,99,11.0,27.846153846153847,1
4cd95_00125,0.9394069617533305,0.9672566371681416,0.9702618730581447,0.8794940079893475,0.9462389380530973,0.684085510688836,81.73734140396118,True,,,1,7f6d29c11e5448babeda6cc13a692c25,2022-08-23_18-20-59,1661246459,81.73734140396118,271272,booster,172.21.5.13,81.73734140396118,0,1,0.021242856979370117,125,14.0,24.153846153846153,1
4cd95_00129,0.9392573513629534,0.968141592920354,0.9692137320044297,0.8801771871539313,0.9464601769911505,0.6888361045130641,82.54634141921997,True,,,1,be762fc9674a40ee83ea4cb471a5a24e,2022-08-23_18-22-11,1661246531,82.54634141921997,271494,booster,172.21.5.13,82.54634141921997,0,1,0.015262365341186523,129,14.0,31.53846153846154,1
4cd95_00124,0.9389903329752953,0.9670353982300885,0.9700399467376831,0.8788282290279628,0.9462389380530973,0.6817102137767221,78.21789002418518,True,,,1,f71595cde9044db293b9b3032a99bdd6,2022-08-23_18-20-46,1661246446,78.21789002418518,271216,booster,172.21.5.13,78.21789002418518,0,1,0.00840902328491211,124,14.0,24.153846153846153,0
4cd95_00128,0.9388412017167382,0.9679203539823009,0.9689922480620154,0.8795127353266888,0.9464601769911505,0.6864608076009501,83.13798928260803,True,,,1,302baed350d04b18929772cb6c126f1d,2022-08-23_18-21-47,1661246507,83.13798928260803,271427,booster,172.21.5.13,83.13798928260803,0,1,0.010861873626708984,128,14.0,31.53846153846154,0
4cd95_00097,0.938573883161512,0.9668141592920354,0.9698180204172215,0.8757212605415002,0.9444690265486726,0.6769596199524941,89.79092788696289,True,,,1,fe3cc29b116e4ee1915699f348610341,2022-08-23_18-13-37,1661246017,89.79092788696289,269639,booster,172.21.5.13,89.79092788696289,0,1,0.012310266494750977,97,11.0,24.153846153846153,1
4cd95_00131,0.9384384384384384,0.9679203539823009,0.9685632056674784,0.879566083683861,0.9462389380530973,0.6864608076009501,83.37881088256836,True,,,1,298fba9672254a50915556579a2bb30f,2022-08-23_18-22-31,1661246551,83.37881088256836,271610,booster,172.21.5.13,83.37881088256836,0,1,0.0161893367767334,131,14.0,35.23076923076923,1
4cd95_00101,0.9384252306372023,0.9676991150442478,0.9687707641196013,0.875968992248062,0.9446902654867256,0.6817102137767221,94.12688827514648,True,,,1,3993d55e17a940d49c32c66eff790533,2022-08-23_18-14-46,1661246086,94.12688827514648,269826,booster,172.21.5.13,94.12688827514648,0,1,0.008492231369018555,101,11.0,31.53846153846154,1
