trial_id,union_ratio,true_ratio,predicted_ratio,track_purity,target_effectiveness,division_recovery,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing
84a84_00135,0.9459579180509413,0.9722285454131573,0.9722285454131573,0.8952879581151832,0.9467334395629411,0.7425742574257426,85.18424940109253,True,,,1,0810443dcb304a2187eabd411fbdfd6d,2022-08-23_16-51-29,1661241089,85.18424940109253,251098,booster,172.21.5.13,85.18424940109253,0,1,0.0045168399810791016,135,14.0,42.61538461538462,1
84a84_00139,0.9459579180509413,0.9722285454131573,0.9722285454131573,0.8952879581151832,0.9467334395629411,0.7425742574257426,81.79407215118408,True,,,1,e96e7ff04fb74d6d9796023238a720d0,2022-08-23_16-52-08,1661241128,81.79407215118408,251357,booster,172.21.5.13,81.79407215118408,0,1,0.009321928024291992,139,14.0,50.0,1
84a84_00133,0.9459579180509413,0.9722285454131573,0.9722285454131573,0.8952879581151832,0.9467334395629411,0.7425742574257426,81.83241868019104,True,,,1,faa132e36f6a4993afb611ee32883388,2022-08-23_16-50-36,1661241036,81.83241868019104,250971,booster,172.21.5.13,81.83241868019104,0,1,0.004342317581176758,133,14.0,38.92307692307693,1
84a84_00131,0.9459579180509413,0.9722285454131573,0.9722285454131573,0.8952879581151832,0.9467334395629411,0.7425742574257426,82.94320058822632,True,,,1,2c0302aa1064455c9c0122bc8526c94e,2022-08-23_16-50-03,1661241003,82.94320058822632,250821,booster,172.21.5.13,82.94320058822632,0,1,0.008013725280761719,131,14.0,35.23076923076923,1
84a84_00097,0.9446412754650133,0.9710903710448441,0.9719753930280246,0.8954203691045797,0.9440018210789893,0.7326732673267327,82.45952081680298,True,,,1,478e42bf797746728ce3a7f4273ec912,2022-08-23_16-41-21,1661240481,82.45952081680298,248861,booster,172.21.5.13,82.45952081680298,0,1,0.004149436950683594,97,11.0,24.153846153846153,1
84a84_00124,0.9446412754650133,0.9710903710448441,0.9719753930280246,0.8926862611073137,0.9453676303209652,0.7301980198019802,84.61155772209167,True,,,1,979d67b4ee7e419f959ea2901afbaef4,2022-08-23_16-48-30,1661240910,84.61155772209167,250462,booster,172.21.5.13,84.61155772209167,0,1,0.004175424575805664,124,14.0,24.153846153846153,0
84a84_00126,0.9444444444444444,0.9713180059185067,0.9715391621129326,0.89275956284153,0.9453676303209652,0.7326732673267327,83.28745222091675,True,,,1,647bd98910ba44e096110f2b37aa2b39,2022-08-23_16-48-39,1661240919,83.28745222091675,250546,booster,172.21.5.13,83.28745222091675,0,1,0.013751983642578125,126,14.0,27.846153846153847,0
84a84_00128,0.9444444444444444,0.9713180059185067,0.9715391621129326,0.89275956284153,0.9453676303209652,0.7326732673267327,79.23671793937683,True,,,1,deb92c8a49c84e9591b897c38ec2524b,2022-08-23_16-49-10,1661240950,79.23671793937683,250666,booster,172.21.5.13,79.23671793937683,0,1,0.00481104850769043,128,14.0,31.53846153846154,0
84a84_00136,0.9442354503208674,0.9713180059185067,0.9713180059185067,0.8925563396312315,0.9446847256999772,0.7326732673267327,86.1277334690094,True,,,1,afe323da31bc451998835e3c95ce5562,2022-08-23_16-51-39,1661241099,86.1277334690094,251156,booster,172.21.5.13,86.1277334690094,0,1,0.010277986526489258,136,14.0,46.30769230769231,0
84a84_00132,0.9442354503208674,0.9713180059185067,0.9713180059185067,0.8925563396312315,0.9446847256999772,0.7326732673267327,88.58534407615662,True,,,1,4c1f212a79ec49f0b794ccf249ee50b1,2022-08-23_16-50-18,1661241018,88.58534407615662,250909,booster,172.21.5.13,88.58534407615662,0,1,0.012633562088012695,132,14.0,38.92307692307693,0
84a84_00130,0.9442354503208674,0.9713180059185067,0.9713180059185067,0.8925563396312315,0.9446847256999772,0.7326732673267327,88.39923882484436,True,,,1,4293dd0ff0ae4f3f9eebdca9ba1956c8,2022-08-23_16-50-08,1661241008,88.39923882484436,250794,booster,172.21.5.13,88.39923882484436,0,1,0.008778095245361328,130,14.0,35.23076923076923,0
84a84_00134,0.9442354503208674,0.9713180059185067,0.9713180059185067,0.8925563396312315,0.9446847256999772,0.7326732673267327,82.44740605354309,True,,,1,9ec591c1c99c49408a8955eb6eca9136,2022-08-23_16-50-48,1661241048,82.44740605354309,251027,booster,172.21.5.13,82.44740605354309,0,1,0.009458065032958984,134,14.0,42.61538461538462,0
84a84_00138,0.9442354503208674,0.9713180059185067,0.9713180059185067,0.8925563396312315,0.9446847256999772,0.7326732673267327,83.30764555931091,True,,,1,6660282896c9421d89a5fd146d1775ae,2022-08-23_16-51-51,1661241111,83.30764555931091,251272,booster,172.21.5.13,83.30764555931091,0,1,0.010821819305419922,138,14.0,50.0,0
84a84_00123,0.9440993788819876,0.9688140223082177,0.9736902310684054,0.8904140928849233,0.9460505349419531,0.7054455445544554,84.37425088882446,True,,,1,72d018135ccd4e44ab3e82bd2594c03f,2022-08-23_16-48-16,1661240896,84.37425088882446,250393,booster,172.21.5.13,84.37425088882446,0,1,0.01693272590637207,123,14.0,20.461538461538463,1
84a84_00099,0.9440141624253153,0.9710903710448441,0.9713114754098361,0.8941256830601093,0.9437741862053266,0.7326732673267327,86.18892359733582,True,,,1,58cc43c1d7a54bd19f4341bc888f8465,2022-08-23_16-42-07,1661240527,86.18892359733582,248984,booster,172.21.5.13,86.18892359733582,0,1,0.013927936553955078,99,11.0,27.846153846153847,1
84a84_00101,0.9440141624253153,0.9710903710448441,0.9713114754098361,0.8941256830601093,0.9437741862053266,0.7326732673267327,85.15568375587463,True,,,1,81c9c2c1771f4e43868069aaf4e2e868,2022-08-23_16-42-24,1661240544,85.15568375587463,249099,booster,172.21.5.13,85.15568375587463,0,1,0.00449371337890625,101,11.0,31.53846153846154,1
84a84_00103,0.9438053097345133,0.9710903710448441,0.9710903710448441,0.8939221488732074,0.9430912815843387,0.7326732673267327,85.89365291595459,True,,,1,6820808b565542149b9d3208af19785b,2022-08-23_16-42-57,1661240577,85.89365291595459,249218,booster,172.21.5.13,85.89365291595459,0,1,0.005452394485473633,103,11.0,35.23076923076923,1
